metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,stock,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00
Pretax Income,,,,,AAPL,113736000000.0,119103000000.0,109207000000.0,67091000000.0,,,,,,,
Other Income Expense,,,,,AAPL,-382000000.0,-228000000.0,60000000.0,-87000000.0,,,,,,,
Other Non Operating Income Expenses,,,,,AAPL,-382000000.0,-228000000.0,60000000.0,-87000000.0,,,,,,,
Net Non Operating Interest Income Expense,,,,,AAPL,-183000000.0,-106000000.0,198000000.0,890000000.0,,,,,,,
Interest Expense Non Operating,,,,,AAPL,3933000000.0,2931000000.0,2645000000.0,2873000000.0,,,,,,,
Interest Income Non Operating,,,,,AAPL,3750000000.0,2825000000.0,2843000000.0,3763000000.0,,,,,,,
Operating Income,,,,,AAPL,114301000000.0,119437000000.0,108949000000.0,66288000000.0,,,,,,,
Operating Expense,,,,,AAPL,54847000000.0,51345000000.0,43887000000.0,38668000000.0,,,,,,,
Research And Development,,,,,AAPL,29915000000.0,26251000000.0,21914000000.0,18752000000.0,,,,,,,
Selling General And Administration,,,,,AAPL,24932000000.0,25094000000.0,21973000000.0,19916000000.0,,,,,,,
Gross Profit,,,,,AAPL,169148000000.0,170782000000.0,152836000000.0,104956000000.0,,,,,,,
Cost Of Revenue,,,,,AAPL,214137000000.0,223546000000.0,212981000000.0,169559000000.0,,,,,,,
Total Revenue,,,,,AAPL,383285000000.0,394328000000.0,365817000000.0,274515000000.0,,,,,,,
Operating Revenue,,,,,AAPL,383285000000.0,394328000000.0,365817000000.0,274515000000.0,,,,,,,
Tax Effect Of Unusual Items,-43050000.0,-2184754000.0,2013390000.0,87480000.0,F,,,,,,,,,,,
Tax Rate For Calcs,0.21,0.286,0.27,0.27,F,,,,,,,,,,,
Normalized EBITDA,12013000000.0,12398000000.0,18086000000.0,7668000000.0,F,,,,,,,,,,,
Total Unusual Items,-205000000.0,-7639000000.0,7457000000.0,324000000.0,F,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-205000000.0,-7639000000.0,7457000000.0,324000000.0,F,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,F,,,,,,,,,,,
Reconciled Depreciation,6523000000.0,6493000000.0,5960000000.0,7457000000.0,F,,,,,,,,,,,
Reconciled Cost Of Revenue,160031000000.0,140893000000.0,119903000000.0,121359000000.0,F,,,,,,,,,,,
EBITDA,11808000000.0,4759000000.0,25543000000.0,7992000000.0,F,,,,,,,,,,,
EBIT,5285000000.0,-1734000000.0,19583000000.0,535000000.0,F,,,,,,,,,,,
Net Interest Income,249000000.0,-643000000.0,-1542000000.0,-1199000000.0,F,,,,,,,,,,,
Interest Expense,1318000000.0,1282000000.0,1803000000.0,1651000000.0,F,,,,,,,,,,,
Interest Income,1567000000.0,639000000.0,261000000.0,452000000.0,F,,,,,,,,,,,
Normalized Income,4508950000.0,3473246000.0,12493390000.0,-1515520000.0,F,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,F,,,,,,,,,,,
Total Expenses,170733000000.0,151781000000.0,131818000000.0,131552000000.0,F,,,,,,,,,,,
Total Operating Income As Reported,5458000000.0,6276000000.0,4523000000.0,-4408000000.0,F,,,,,,,,,,,
Diluted Average Shares,4041000000.0,4056000000.0,4034000000.0,3973000000.0,F,,,,,,,,,,,
Basic Average Shares,3998000000.0,4014000000.0,3991000000.0,3973000000.0,F,,,,,,,,,,,
Diluted EPS,1.08,-0.49,4.45,-0.32,F,,,,,,,,,,,
Basic EPS,1.09,-0.49,4.49,-0.32,F,,,,,,,,,,,
Diluted NI Availto Com Stockholders,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,F,,,,,,,,,,,
Net Income Common Stockholders,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,F,,,,,,,,,,,
Net Income,4347000000.0,-1981000000.0,17937000000.0,-1279000000.0,F,,,,,,,,,,,
Minority Interests,18000000.0,171000000.0,27000000.0,-3000000.0,F,,,,,,,,,,,
Net Income Including Noncontrolling Interests,4329000000.0,-2152000000.0,17910000000.0,-1276000000.0,F,,,,,,,,,,,
Net Income Continuous Operations,4329000000.0,-2152000000.0,17910000000.0,-1276000000.0,F,,,,,,,,,,,
Tax Provision,-362000000.0,-864000000.0,-130000000.0,160000000.0,F,,,,,,,,,,,
Pretax Income,3967000000.0,-3016000000.0,17780000000.0,-1116000000.0,F,,,,,,,,,,,
Other Income Expense,-1740000000.0,-8649000000.0,14799000000.0,4491000000.0,F,,,,,,,,,,,
Other Non Operating Income Expenses,-1958000000.0,2020000000.0,6647000000.0,679000000.0,F,,,,,,,,,,,
Special Income Charges,0.0,-121000000.0,-1702000000.0,-1000000.0,F,,,,,,,,,,,
Other Special Charges,,121000000.0,1702000000.0,1000000.0,F,,,,,,,,,,,
Earnings From Equity Interest,423000000.0,-3030000000.0,695000000.0,3488000000.0,F,,,,,,,,,,,
Gain On Sale Of Security,-205000000.0,-7518000000.0,9159000000.0,325000000.0,F,,,,,,,,,,,
Net Non Operating Interest Income Expense,249000000.0,-643000000.0,-1542000000.0,-1199000000.0,F,,,,,,,,,,,
Interest Expense Non Operating,1318000000.0,1282000000.0,1803000000.0,1651000000.0,F,,,,,,,,,,,
Interest Income Non Operating,1567000000.0,639000000.0,261000000.0,452000000.0,F,,,,,,,,,,,
Operating Income,5458000000.0,6276000000.0,4523000000.0,-4408000000.0,F,,,,,,,,,,,
Operating Expense,10702000000.0,10888000000.0,11915000000.0,10193000000.0,F,,,,,,,,,,,
Other Operating Expenses,,,,8607000000.0,F,,,,,,,,,,,
Selling General And Administration,10702000000.0,10888000000.0,11915000000.0,10193000000.0,F,,,,,,,,,,,
Gross Profit,16160000000.0,17164000000.0,16438000000.0,5785000000.0,F,,,,,,,,,,,
Cost Of Revenue,160031000000.0,140893000000.0,119903000000.0,121359000000.0,F,,,,,,,,,,,
Total Revenue,176191000000.0,158057000000.0,136341000000.0,127144000000.0,F,,,,,,,,,,,
Operating Revenue,176191000000.0,158057000000.0,136341000000.0,127144000000.0,F,,,,,,,,,,,
Tax Effect Of Unusual Items,213600000.0,-275496000.0,-78374000.0,-2206620000.0,DAL,,,,,,,,,,,
Tax Rate For Calcs,0.178,0.312,0.298,0.205,DAL,,,,,,,,,,,
Normalized EBITDA,7583000000.0,5933000000.0,3938000000.0,-1582000000.0,DAL,,,,,,,,,,,
Total Unusual Items,1200000000.0,-883000000.0,-263000000.0,-10764000000.0,DAL,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,1200000000.0,-883000000.0,-263000000.0,-10764000000.0,DAL,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Reconciled Depreciation,2341000000.0,2107000000.0,1998000000.0,2312000000.0,DAL,,,,,,,,,,,
Reconciled Cost Of Revenue,46571000000.0,42767000000.0,30078000000.0,23416000000.0,DAL,,,,,,,,,,,
EBITDA,8783000000.0,5050000000.0,3675000000.0,-12346000000.0,DAL,,,,,,,,,,,
EBIT,6442000000.0,2943000000.0,1677000000.0,-14658000000.0,DAL,,,,,,,,,,,
Net Interest Income,-834000000.0,-1029000000.0,-1279000000.0,-929000000.0,DAL,,,,,,,,,,,
Interest Expense,834000000.0,1029000000.0,1279000000.0,929000000.0,DAL,,,,,,,,,,,
Normalized Income,3622600000.0,1925504000.0,464626000.0,-3827620000.0,DAL,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Total Expenses,52771000000.0,46629000000.0,27562000000.0,21345000000.0,DAL,,,,,,,,,,,
Rent Expense Supplemental,3095000000.0,2689000000.0,2449000000.0,2232000000.0,DAL,,,,,,,,,,,
Total Operating Income As Reported,5521000000.0,3661000000.0,1886000000.0,-12469000000.0,DAL,,,,,,,,,,,
Diluted Average Shares,643000000.0,641000000.0,641000000.0,636000000.0,DAL,,,,,,,,,,,
Basic Average Shares,639000000.0,638000000.0,636000000.0,636000000.0,DAL,,,,,,,,,,,
Diluted EPS,7.17,2.06,0.44,-19.49,DAL,,,,,,,,,,,
Basic EPS,7.21,2.07,0.44,-19.49,DAL,,,,,,,,,,,
Diluted NI Availto Com Stockholders,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Net Income Common Stockholders,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Net Income,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Net Income Including Noncontrolling Interests,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Net Income Continuous Operations,4609000000.0,1318000000.0,280000000.0,-12385000000.0,DAL,,,,,,,,,,,
Tax Provision,999000000.0,596000000.0,118000000.0,-3202000000.0,DAL,,,,,,,,,,,
Pretax Income,5608000000.0,1914000000.0,398000000.0,-15587000000.0,DAL,,,,,,,,,,,
Other Income Expense,1165000000.0,-1010000000.0,-660000000.0,-10408000000.0,DAL,,,,,,,,,,,
Other Non Operating Income Expenses,-35000000.0,-127000000.0,-397000000.0,356000000.0,DAL,,,,,,,,,,,
Special Income Charges,-63000000.0,-100000000.0,-319000000.0,-10659000000.0,DAL,,,,,,,,,,,
Other Special Charges,63000000.0,100000000.0,319000000.0,8000000.0,DAL,,,,,,,,,,,
Write Off,,20000000.0,337000000.0,2432000000.0,DAL,,,,,,,,,,,
Restructuring And Mergern Acquisition,,-124000000.0,-19000000.0,8219000000.0,DAL,,,,,,,,,,,
Gain On Sale Of Security,1263000000.0,-783000000.0,56000000.0,-105000000.0,DAL,,,,,,,,,,,
Net Non Operating Interest Income Expense,-834000000.0,-1029000000.0,-1279000000.0,-929000000.0,DAL,,,,,,,,,,,
Interest Expense Non Operating,834000000.0,1029000000.0,1279000000.0,929000000.0,DAL,,,,,,,,,,,
Operating Income,5277000000.0,3953000000.0,2337000000.0,-4250000000.0,DAL,,,,,,,,,,,
Operating Expense,6200000000.0,3862000000.0,-2516000000.0,-2071000000.0,DAL,,,,,,,,,,,
Other Operating Expenses,2239000000.0,1700000000.0,-3126000000.0,-2714000000.0,DAL,,,,,,,,,,,
Selling General And Administration,3961000000.0,2162000000.0,610000000.0,643000000.0,DAL,,,,,,,,,,,
Selling And Marketing Expense,2334000000.0,1891000000.0,953000000.0,643000000.0,DAL,,,,,,,,,,,
General And Administrative Expense,1627000000.0,271000000.0,-343000000.0,,DAL,,,,,,,,,,,
Salaries And Wages,1627000000.0,271000000.0,-343000000.0,0.0,DAL,,,,,,,,,,,
Gross Profit,11477000000.0,7815000000.0,-179000000.0,-6321000000.0,DAL,,,,,,,,,,,
Cost Of Revenue,46571000000.0,42767000000.0,30078000000.0,23416000000.0,DAL,,,,,,,,,,,
Total Revenue,58048000000.0,50582000000.0,29899000000.0,17095000000.0,DAL,,,,,,,,,,,
Operating Revenue,49632000000.0,41268000000.0,23551000000.0,13491000000.0,DAL,,,,,,,,,,,
Tax Effect Of Unusual Items,-5620854.0,-15190601.0,-16594200.0,-6059880.0,PHM,,,,,,,,,,,
Tax Rate For Calcs,0.246,0.239,0.225,0.186,PHM,,,,,,,,,,,
Normalized EBITDA,3553409000.0,3574319000.0,2654052000.0,1831603000.0,PHM,,,,,,,,,,,
Total Unusual Items,-22849000.0,-63559000.0,-73752000.0,-32580000.0,PHM,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-22849000.0,-63559000.0,-73752000.0,-32580000.0,PHM,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2602372000.0,2617317000.0,1946320000.0,1406839000.0,PHM,,,,,,,,,,,
Reconciled Depreciation,80824000.0,70918000.0,69953000.0,66081000.0,PHM,,,,,,,,,,,
Reconciled Cost Of Revenue,11271807000.0,11108681000.0,9901122000.0,8211534000.0,PHM,,,,,,,,,,,
EBITDA,3530560000.0,3510760000.0,2580300000.0,1799023000.0,PHM,,,,,,,,,,,
EBIT,3449736000.0,3439842000.0,2510347000.0,1732942000.0,PHM,,,,,,,,,,,
Net Interest Income,61064000.0,1687000.0,1451000.0,2589000.0,PHM,,,,,,,,,,,
Interest Expense,469000.0,284000.0,502000.0,4248000.0,PHM,,,,,,,,,,,
Interest Income,61533000.0,1971000.0,1953000.0,6837000.0,PHM,,,,,,,,,,,
Normalized Income,2619600146.0,2665685399.0,2003477800.0,1433359120.0,PHM,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2602372000.0,2617317000.0,1946320000.0,1406839000.0,PHM,,,,,,,,,,,
Total Expenses,12665273000.0,12560821000.0,11179773000.0,9289057000.0,PHM,,,,,,,,,,,
Diluted Average Shares,221163000.0,236166000.0,259928000.0,269414000.0,PHM,,,,,,,,,,,
Basic Average Shares,219958000.0,235010000.0,259285000.0,268553000.0,PHM,,,,,,,,,,,
Diluted EPS,11.72,11.01,7.43,5.18,PHM,,,,,,,,,,,
Basic EPS,11.79,11.07,7.44,5.19,PHM,,,,,,,,,,,
Diluted NI Availto Com Stockholders,2592938000.0,2601242000.0,1930022000.0,1394421000.0,PHM,,,,,,,,,,,
Average Dilution Earnings,67000.0,101000.0,37000.0,36000.0,PHM,,,,,,,,,,,
Net Income Common Stockholders,2592871000.0,2601141000.0,1929985000.0,1394385000.0,PHM,,,,,,,,,,,
Otherunder Preferred Stock Dividend,9501000.0,16176000.0,16335000.0,12454000.0,PHM,,,,,,,,,,,
Net Income,2602372000.0,2617317000.0,1946320000.0,1406839000.0,PHM,,,,,,,,,,,
Net Income Including Noncontrolling Interests,2602372000.0,2617317000.0,1946320000.0,1406839000.0,PHM,,,,,,,,,,,
Net Income Continuous Operations,2602372000.0,2617317000.0,1946320000.0,1406839000.0,PHM,,,,,,,,,,,
Tax Provision,846895000.0,822241000.0,563525000.0,321855000.0,PHM,,,,,,,,,,,
Pretax Income,3449267000.0,3439558000.0,2509845000.0,1728694000.0,PHM,,,,,,,,,,,
Other Income Expense,-8102000.0,-4287000.0,-48828000.0,-20920000.0,PHM,,,,,,,,,,,
Other Non Operating Income Expenses,10186000.0,8592000.0,7724000.0,9780000.0,PHM,,,,,,,,,,,
Special Income Charges,-22849000.0,-63559000.0,-73752000.0,-32580000.0,PHM,,,,,,,,,,,
Other Special Charges,-663000.0,,61469000.0,,PHM,,,,,,,,,,,
Write Off,23512000.0,63559000.0,12283000.0,12390000.0,PHM,,,,,,,,,,,
Impairment Of Capital Assets,,0.0,0.0,20190000.0,PHM,,,,,,,,,,,
Earnings From Equity Interest,4561000.0,50680000.0,17200000.0,1880000.0,PHM,,,,,,,,,,,
Net Non Operating Interest Income Expense,61064000.0,1687000.0,1451000.0,2589000.0,PHM,,,,,,,,,,,
Interest Expense Non Operating,469000.0,284000.0,502000.0,4248000.0,PHM,,,,,,,,,,,
Interest Income Non Operating,61533000.0,1971000.0,1953000.0,6837000.0,PHM,,,,,,,,,,,
Operating Income,3396305000.0,3442158000.0,2557222000.0,1747025000.0,PHM,,,,,,,,,,,
Operating Expense,1323180000.0,1392340000.0,1225200000.0,1031127000.0,PHM,,,,,,,,,,,
Depreciation Amortization Depletion Income Statement,10538000.0,11118000.0,16502000.0,19685000.0,PHM,,,,,,,,,,,
Depreciation And Amortization In Income Statement,10538000.0,11118000.0,16502000.0,19685000.0,PHM,,,,,,,,,,,
Amortization,10538000.0,11118000.0,16502000.0,19685000.0,PHM,,,,,,,,,,,
Amortization Of Intangibles Income Statement,10538000.0,11118000.0,16502000.0,19685000.0,PHM,,,,,,,,,,,
Selling General And Administration,1312642000.0,1381222000.0,1208698000.0,1011442000.0,PHM,,,,,,,,,,,
Gross Profit,4719485000.0,4834498000.0,3782422000.0,2778152000.0,PHM,,,,,,,,,,,
Cost Of Revenue,11342093000.0,11168481000.0,9954573000.0,8257930000.0,PHM,,,,,,,,,,,
Total Revenue,16061578000.0,16002979000.0,13736995000.0,11036082000.0,PHM,,,,,,,,,,,
Operating Revenue,16061578000.0,16002979000.0,13736995000.0,11036082000.0,PHM,,,,,,,,,,,
Tax Effect Of Unusual Items,5893965.0,-19462300.0,14278250.0,0.0,PDD,,,,,,,,,,,
Tax Rate For Calcs,0.165,0.13,0.199,0.0,PDD,,,,,,,,,,,
Normalized EBITDA,73777626000.0,39355463000.0,12458922000.0,-5930789000.0,PDD,,,,,,,,,,,
Total Unusual Items,35721000.0,-149710000.0,71750000.0,225197000.0,PDD,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,35721000.0,-149710000.0,71750000.0,225197000.0,PDD,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,60026544000.0,31538062000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Reconciled Depreciation,1888205000.0,2735084000.0,1844243000.0,800468000.0,PDD,,,,,,,,,,,
Reconciled Cost Of Revenue,91723577000.0,31462298000.0,31718093000.0,19278641000.0,PDD,,,,,,,,,,,
EBITDA,73813347000.0,39205753000.0,12530672000.0,-5705592000.0,PDD,,,,,,,,,,,
EBIT,71925142000.0,36470669000.0,10686429000.0,-6506060000.0,PDD,,,,,,,,,,,
Net Interest Income,10194093000.0,3945445000.0,1830660000.0,1698030000.0,PDD,,,,,,,,,,,
Interest Expense,43987000.0,51655000.0,1231002000.0,757336000.0,PDD,,,,,,,,,,,
Interest Income,10238080000.0,3997100000.0,3061662000.0,2455366000.0,PDD,,,,,,,,,,,
Normalized Income,59996716965.0,31668309700.0,7711198250.0,-7404939000.0,PDD,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,60026544000.0,31538062000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Total Expenses,188940443000.0,100155668000.0,87053177000.0,68872190000.0,PDD,,,,,,,,,,,
Total Operating Income As Reported,58698762000.0,30401921000.0,6896762000.0,-9380325000.0,PDD,,,,,,,,,,,
Diluted Average Shares,1459907390.0,1440322860.0,1428441074.0,1192085825.0,PDD,,,,,,,,,,,
Basic Average Shares,1354026506.0,1264385031.0,1253162834.0,1192085825.0,PDD,,,,,,,,,,,
Diluted EPS,41.16,21.92,5.44,-6.04,PDD,,,,,,,,,,,
Basic EPS,44.32,24.96,6.2,-6.04,PDD,,,,,,,,,,,
Diluted NI Availto Com Stockholders,60070531000.0,31589717000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Average Dilution Earnings,43987000.0,51655000.0,0.0,0.0,PDD,,,,,,,,,,,
Net Income Common Stockholders,60026544000.0,31538062000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Net Income,60026544000.0,31538062000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Net Income Including Noncontrolling Interests,60026544000.0,31538062000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Net Income Continuous Operations,60026544000.0,31538062000.0,7768670000.0,-7179742000.0,PDD,,,,,,,,,,,
Earnings From Equity Interest Net Of Tax,-4707000.0,-155285000.0,246828000.0,83654000.0,PDD,,,,,,,,,,,
Tax Provision,11849904000.0,4725667000.0,1933585000.0,0.0,PDD,,,,,,,,,,,
Pretax Income,71881155000.0,36419014000.0,9455427000.0,-7263396000.0,PDD,,,,,,,,,,,
Other Income Expense,2988300000.0,2071648000.0,728005000.0,418899000.0,PDD,,,,,,,,,,,
