0,1,stock
Float 8,3.88B,CMCSA
% Held by Insiders 1,0.69%,CMCSA
% Held by Institutions 1,89.23%,CMCSA
Shares Short (4/15/2024) 4,53.51M,CMCSA
Short Ratio (4/15/2024) 4,2.35,CMCSA
Short % of Float (4/15/2024) 4,1.38%,CMCSA
Short % of Shares Outstanding (4/15/2024) 4,1.36%,CMCSA
Shares Short (prior month 3/15/2024) 4,48.24M,CMCSA
Avg Vol (3 month) 3,10.13M,UAL
Avg Vol (10 day) 3,7.81M,UAL
Shares Outstanding 5,328.8M,UAL
Implied Shares Outstanding 6,329.06M,UAL
Float 8,326.63M,UAL
% Held by Insiders 1,0.48%,UAL
% Held by Institutions 1,69.57%,UAL
Shares Short (4/15/2024) 4,21.94M,UAL
Short Ratio (4/15/2024) 4,2.56,UAL
Short % of Float (4/15/2024) 4,7.56%,UAL
Short % of Shares Outstanding (4/15/2024) 4,6.67%,UAL
Shares Short (prior month 3/15/2024) 4,17.84M,UAL
Avg Vol (3 month) 3,1.73M,EDU
Avg Vol (10 day) 3,3.53M,EDU
Shares Outstanding 5,165.51M,EDU
Implied Shares Outstanding 6,165.51M,EDU
Float 8,1.44B,EDU
% Held by Insiders 1,2.04%,EDU
% Held by Institutions 1,41.94%,EDU
Shares Short (4/15/2024) 4,4.28M,EDU
Short Ratio (4/15/2024) 4,3.7,EDU
Short % of Float (4/15/2024) 4,--,EDU
Short % of Shares Outstanding (4/15/2024) 4,2.77%,EDU
Shares Short (prior month 3/15/2024) 4,4.7M,EDU
Avg Vol (3 month) 3,2.58M,TCEHY
Avg Vol (10 day) 3,2.71M,TCEHY
Shares Outstanding 5,9.42B,TCEHY
Implied Shares Outstanding 6,9.47B,TCEHY
Float 8,6.27B,TCEHY
% Held by Insiders 1,0.00%,TCEHY
% Held by Institutions 1,0.09%,TCEHY
Shares Short 4,--,TCEHY
Short Ratio 4,--,TCEHY
Short % of Float 4,--,TCEHY
Short % of Shares Outstanding 4,--,TCEHY
Shares Short (prior month ) 4,--,TCEHY
Avg Vol (3 month) 3,9.25M,VFC
Avg Vol (10 day) 3,5.65M,VFC
Shares Outstanding 5,388.82M,VFC
Implied Shares Outstanding 6,388.82M,VFC
Float 8,384.93M,VFC
% Held by Insiders 1,0.94%,VFC
% Held by Institutions 1,86.86%,VFC
Shares Short (4/15/2024) 4,37.21M,VFC
Short Ratio (4/15/2024) 4,3.01,VFC
Short % of Float (4/15/2024) 4,10.77%,VFC
Short % of Shares Outstanding (4/15/2024) 4,9.57%,VFC
Shares Short (prior month 3/15/2024) 4,30.07M,VFC
Avg Vol (3 month) 3,8.67M,LI
Avg Vol (10 day) 3,10.16M,LI
Shares Outstanding 5,992.83M,LI
Implied Shares Outstanding 6,1.02B,LI
Float 8,1.09B,LI
% Held by Insiders 1,0.10%,LI
% Held by Institutions 1,11.37%,LI
Shares Short (4/15/2024) 4,26.34M,LI
Short Ratio (4/15/2024) 4,2.83,LI
Short % of Float (4/15/2024) 4,--,LI
Short % of Shares Outstanding (4/15/2024) 4,2.65%,LI
Shares Short (prior month 3/15/2024) 4,29.15M,LI
Avg Vol (3 month) 3,382.04k,MPNGY
Avg Vol (10 day) 3,336.59k,MPNGY
Shares Outstanding 5,3.1B,MPNGY
Implied Shares Outstanding 6,3.16B,MPNGY
Float 8,5.38B,MPNGY
% Held by Insiders 1,0.00%,MPNGY
% Held by Institutions 1,0.01%,MPNGY
Shares Short 4,--,MPNGY
Short Ratio 4,--,MPNGY
Short % of Float 4,--,MPNGY
Short % of Shares Outstanding 4,--,MPNGY
Shares Short (prior month ) 4,--,MPNGY
Avg Vol (3 month) 3,2.35M,WB
Avg Vol (10 day) 3,1.99M,WB
Shares Outstanding 5,243.32M,WB
Implied Shares Outstanding 6,243.44M,WB
Float 8,84.24M,WB
% Held by Insiders 1,6.14%,WB
% Held by Institutions 1,42.96%,WB
Shares Short (4/15/2024) 4,10.74M,WB
Short Ratio (4/15/2024) 4,3.82,WB
Short % of Float (4/15/2024) 4,--,WB
Short % of Shares Outstanding (4/15/2024) 4,4.41%,WB
Shares Short (prior month 3/15/2024) 4,10.9M,WB
Avg Vol (3 month) 3,3.76M,BZ
Avg Vol (10 day) 3,4.4M,BZ
Shares Outstanding 5,443.9M,BZ
Implied Shares Outstanding 6,437.04M,BZ
Float 8,656.58M,BZ
% Held by Insiders 1,0.06%,BZ
% Held by Institutions 1,65.67%,BZ
Shares Short (4/15/2024) 4,13.36M,BZ
Short Ratio (4/15/2024) 4,3.37,BZ
Short % of Float (4/15/2024) 4,--,BZ
Short % of Shares Outstanding (4/15/2024) 4,2.91%,BZ
Shares Short (prior month 3/15/2024) 4,15.15M,BZ
Avg Vol (3 month) 3,100.99M,TSLA
Avg Vol (10 day) 3,120.5M,TSLA
Shares Outstanding 5,3.19B,TSLA
Implied Shares Outstanding 6,3.19B,TSLA
Float 8,2.77B,TSLA
% Held by Insiders 1,12.98%,TSLA
% Held by Institutions 1,45.63%,TSLA
Shares Short (4/15/2024) 4,106.65M,TSLA
Short Ratio (4/15/2024) 4,1.14,TSLA
Short % of Float (4/15/2024) 4,3.84%,TSLA
Short % of Shares Outstanding (4/15/2024) 4,3.34%,TSLA
Shares Short (prior month 3/15/2024) 4,102.3M,TSLA
Avg Vol (3 month) 3,64.41M,AAPL
Avg Vol (10 day) 3,74.14M,AAPL
Shares Outstanding 5,15.33B,AAPL
Implied Shares Outstanding 6,15.33B,AAPL
Float 8,15.31B,AAPL
% Held by Insiders 1,5.98%,AAPL
% Held by Institutions 1,57.18%,AAPL
Shares Short (4/15/2024) 4,101.91M,AAPL
Short Ratio (4/15/2024) 4,1.58,AAPL
Short % of Float (4/15/2024) 4,0.66%,AAPL
Short % of Shares Outstanding (4/15/2024) 4,0.66%,AAPL
Shares Short (prior month 3/15/2024) 4,110.86M,AAPL
Avg Vol (3 month) 3,63.88M,AMD
Avg Vol (10 day) 3,50.24M,AMD
Shares Outstanding 5,1.62B,AMD
Implied Shares Outstanding 6,1.62B,AMD
Float 8,1.61B,AMD
% Held by Insiders 1,0.47%,AMD
% Held by Institutions 1,74.82%,AMD
Shares Short (4/15/2024) 4,32.3M,AMD
Short Ratio (4/15/2024) 4,0.5,AMD
Short % of Float (4/15/2024) 4,2.01%,AMD
Short % of Shares Outstanding (4/15/2024) 4,2.00%,AMD
Shares Short (prior month 3/15/2024) 4,38.54M,AMD
Avg Vol (3 month) 3,2.78M,RCL
Avg Vol (10 day) 3,3.01M,RCL
Shares Outstanding 5,257.35M,RCL
Implied Shares Outstanding 6,257.35M,RCL
Float 8,241.42M,RCL
% Held by Insiders 1,7.92%,RCL
% Held by Institutions 1,81.16%,RCL
Shares Short (4/15/2024) 4,15.05M,RCL
Short Ratio (4/15/2024) 4,5.41,RCL
Short % of Float (4/15/2024) 4,8.54%,RCL
Short % of Shares Outstanding (4/15/2024) 4,5.85%,RCL
Shares Short (prior month 3/15/2024) 4,15.68M,RCL
Avg Vol (3 month) 3,42.46M,PFE
Avg Vol (10 day) 3,54.97M,PFE
Shares Outstanding 5,5.66B,PFE
Implied Shares Outstanding 6,5.66B,PFE
Float 8,5.64B,PFE
% Held by Insiders 1,0.05%,PFE
% Held by Institutions 1,69.92%,PFE
Shares Short (4/15/2024) 4,68.06M,PFE
Short Ratio (4/15/2024) 4,1.83,PFE
Short % of Float (4/15/2024) 4,1.20%,PFE
Short % of Shares Outstanding (4/15/2024) 4,1.20%,PFE
Shares Short (prior month 3/15/2024) 4,71.65M,PFE
