metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00
Total Operating Income As Reported,1168000000.0,1728000000.0,1168000000.0,1133000000.0,999000000.0,PYPL,,,,,
Diluted Average Shares,,,1098000000.0,1114000000.0,1134000000.0,PYPL,,,,,
Basic Average Shares,,,1094000000.0,1111000000.0,1129000000.0,PYPL,,,,,
Diluted EPS,,,0.93,0.92,0.7,PYPL,,,,,
Basic EPS,,,0.93,0.93,0.7,PYPL,,,,,
Diluted NI Availto Com Stockholders,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Net Income Common Stockholders,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Net Income,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Net Income Including Noncontrolling Interests,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Net Income Continuous Operations,888000000.0,1402000000.0,1020000000.0,1029000000.0,795000000.0,PYPL,,,,,
Tax Provision,321000000.0,391000000.0,221000000.0,274000000.0,279000000.0,PYPL,,,,,
Pretax Income,1209000000.0,1793000000.0,1241000000.0,1303000000.0,1074000000.0,PYPL,,,,,
Other Income Expense,-251000000.0,331000000.0,-4000000.0,117000000.0,-110000000.0,PYPL,,,,,
Other Non Operating Income Expenses,10000000.0,24000000.0,11000000.0,8000000.0,6000000.0,PYPL,,,,,
Special Income Charges,-212000000.0,311000000.0,-39000000.0,-24000000.0,-164000000.0,PYPL,,,,,
Restructuring And Mergern Acquisition,212000000.0,-311000000.0,39000000.0,24000000.0,164000000.0,PYPL,,,,,
Gain On Sale Of Security,-49000000.0,-4000000.0,24000000.0,133000000.0,48000000.0,PYPL,,,,,
Net Non Operating Interest Income Expense,80000000.0,45000000.0,38000000.0,29000000.0,21000000.0,PYPL,,,,,
Interest Expense Non Operating,86000000.0,87000000.0,86000000.0,87000000.0,87000000.0,PYPL,,,,,
Interest Income Non Operating,166000000.0,132000000.0,124000000.0,116000000.0,108000000.0,PYPL,,,,,
Operating Income,1380000000.0,1417000000.0,1207000000.0,1157000000.0,1163000000.0,PYPL,,,,,
Operating Expense,2081000000.0,2255000000.0,2162000000.0,2191000000.0,2152000000.0,PYPL,,,,,
Other Operating Expenses,454000000.0,465000000.0,474000000.0,492000000.0,488000000.0,PYPL,,,,,
Research And Development,742000000.0,770000000.0,739000000.0,743000000.0,721000000.0,PYPL,,,,,
Selling General And Administration,885000000.0,1020000000.0,949000000.0,956000000.0,943000000.0,PYPL,,,,,
Selling And Marketing Expense,421000000.0,466000000.0,442000000.0,465000000.0,436000000.0,PYPL,,,,,
General And Administrative Expense,464000000.0,554000000.0,507000000.0,491000000.0,507000000.0,PYPL,,,,,
Other Gand A,464000000.0,554000000.0,507000000.0,491000000.0,507000000.0,PYPL,,,,,
Gross Profit,3461000000.0,3672000000.0,3369000000.0,3348000000.0,3315000000.0,PYPL,,,,,
Cost Of Revenue,4238000000.0,4354000000.0,4049000000.0,3939000000.0,3725000000.0,PYPL,,,,,
Total Revenue,7699000000.0,8026000000.0,7418000000.0,7287000000.0,7040000000.0,PYPL,,,,,
Operating Revenue,7699000000.0,8026000000.0,7418000000.0,7287000000.0,7040000000.0,PYPL,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,AAPL,,,,,
Tax Rate For Calcs,0.158,0.159,0.149715,0.125,0.149,AAPL,,,,,
Normalized EBITDA,30736000000.0,43221000000.0,30653000000.0,26783000000.0,31216000000.0,AAPL,,,,,
Net Income From Continuing Operation Net Minority Interest,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Reconciled Depreciation,2836000000.0,2848000000.0,2653000000.0,3052000000.0,2898000000.0,AAPL,,,,,
Reconciled Cost Of Revenue,48482000000.0,64720000000.0,49071000000.0,45384000000.0,52860000000.0,AAPL,,,,,
EBITDA,30736000000.0,43221000000.0,30653000000.0,26783000000.0,31216000000.0,AAPL,,,,,
EBIT,27900000000.0,40373000000.0,28000000000.0,23731000000.0,28318000000.0,AAPL,,,,,
Net Interest Income,,,-18000000.0,-18000000.0,-12000000.0,AAPL,,,,,
Interest Expense,,,1002000000.0,998000000.0,930000000.0,AAPL,,,,,
Interest Income,,,984000000.0,980000000.0,918000000.0,AAPL,,,,,
Normalized Income,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Net Income From Continuing And Discontinued Operation,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Total Expenses,62853000000.0,79202000000.0,62529000000.0,58799000000.0,66518000000.0,AAPL,,,,,
Total Operating Income As Reported,27900000000.0,40373000000.0,26969000000.0,22998000000.0,28318000000.0,AAPL,,,,,
Diluted Average Shares,15464709000.0,15576641000.0,15672400000.0,15775021000.0,15847050000.0,AAPL,,,,,
Basic Average Shares,15405856000.0,15509763000.0,15599434000.0,15697614000.0,15787154000.0,AAPL,,,,,
Diluted EPS,1.53,2.18,1.46,1.26,1.52,AAPL,,,,,
Basic EPS,1.53,2.19,1.47,1.27,1.53,AAPL,,,,,
Diluted NI Availto Com Stockholders,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Net Income Common Stockholders,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Net Income,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Net Income Including Noncontrolling Interests,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Net Income Continuous Operations,23636000000.0,33916000000.0,22956000000.0,19881000000.0,24160000000.0,AAPL,,,,,
Tax Provision,4422000000.0,6407000000.0,4042000000.0,2852000000.0,4222000000.0,AAPL,,,,,
Pretax Income,28058000000.0,40323000000.0,26998000000.0,22733000000.0,28382000000.0,AAPL,,,,,
Other Income Expense,158000000.0,-50000000.0,47000000.0,-247000000.0,64000000.0,AAPL,,,,,
Other Non Operating Income Expenses,158000000.0,-50000000.0,47000000.0,-247000000.0,64000000.0,AAPL,,,,,
Net Non Operating Interest Income Expense,,,-18000000.0,-18000000.0,-12000000.0,AAPL,,,,,
Interest Expense Non Operating,,,1002000000.0,998000000.0,930000000.0,AAPL,,,,,
Interest Income Non Operating,,,984000000.0,980000000.0,918000000.0,AAPL,,,,,
Operating Income,27900000000.0,40373000000.0,26969000000.0,22998000000.0,28318000000.0,AAPL,,,,,
Operating Expense,14371000000.0,14482000000.0,13458000000.0,13415000000.0,13658000000.0,AAPL,,,,,
Research And Development,7903000000.0,7696000000.0,7307000000.0,7442000000.0,7457000000.0,AAPL,,,,,
Selling General And Administration,6468000000.0,6786000000.0,6151000000.0,5973000000.0,6201000000.0,AAPL,,,,,
Gross Profit,42271000000.0,54855000000.0,40427000000.0,36413000000.0,41976000000.0,AAPL,,,,,
Cost Of Revenue,48482000000.0,64720000000.0,49071000000.0,45384000000.0,52860000000.0,AAPL,,,,,
Total Revenue,90753000000.0,119575000000.0,89498000000.0,81797000000.0,94836000000.0,AAPL,,,,,
Operating Revenue,90753000000.0,119575000000.0,89498000000.0,81797000000.0,94836000000.0,AAPL,,,,,
Tax Effect Of Unusual Items,-4988000.0,-3780000.0,-3696000.0,-13328000.0,-11730000.0,F,,,,,
Tax Rate For Calcs,0.172,0.21,0.154,0.119,0.23,F,,,,,
Normalized EBITDA,3438000000.0,219000000.0,3345000000.0,4302000000.0,4147000000.0,F,,,,,
Total Unusual Items,-29000000.0,-18000000.0,-24000000.0,-112000000.0,-51000000.0,F,,,,,
Total Unusual Items Excluding Goodwill,-29000000.0,-18000000.0,-24000000.0,-112000000.0,-51000000.0,F,,,,,
Net Income From Continuing Operation Net Minority Interest,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,F,,,,,
Reconciled Depreciation,1505000000.0,1698000000.0,1604000000.0,1596000000.0,1625000000.0,F,,,,,
Reconciled Cost Of Revenue,39176000000.0,43432000000.0,40001000000.0,39743000000.0,36855000000.0,F,,,,,
EBITDA,3409000000.0,201000000.0,3321000000.0,4190000000.0,4096000000.0,F,,,,,
EBIT,1904000000.0,-1497000000.0,1717000000.0,2594000000.0,2471000000.0,F,,,,,
Net Interest Income,118000000.0,63000000.0,84000000.0,66000000.0,36000000.0,F,,,,,
Interest Expense,292000000.0,370000000.0,330000000.0,306000000.0,312000000.0,F,,,,,
Interest Income,410000000.0,433000000.0,414000000.0,372000000.0,348000000.0,F,,,,,
Normalized Income,1356012000.0,-511780000.0,1219304000.0,2015672000.0,1796270000.0,F,,,,,
Net Income From Continuing And Discontinued Operation,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,F,,,,,
Total Expenses,41552000000.0,46207000000.0,42672000000.0,42493000000.0,39361000000.0,F,,,,,
Total Operating Income As Reported,1225000000.0,-245000000.0,1129000000.0,2461000000.0,2113000000.0,F,,,,,
Diluted Average Shares,4023000000.0,,4050000000.0,4041000000.0,4029000000.0,F,,,,,
Basic Average Shares,3979000000.0,,4004000000.0,4003000000.0,3990000000.0,F,,,,,
Diluted EPS,0.33,,0.3,0.47,0.44,F,,,,,
Basic EPS,0.33,,0.3,0.48,0.44,F,,,,,
Diluted NI Availto Com Stockholders,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,F,,,,,
Net Income Common Stockholders,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,F,,,,,
Net Income,1332000000.0,-526000000.0,1199000000.0,1917000000.0,1757000000.0,F,,,,,
Minority Interests,-2000000.0,-3000000.0,26000000.0,-99000000.0,94000000.0,F,,,,,
Net Income Including Noncontrolling Interests,1334000000.0,-523000000.0,1173000000.0,2016000000.0,1663000000.0,F,,,,,
Net Income Continuous Operations,1334000000.0,-523000000.0,1173000000.0,2016000000.0,1663000000.0,F,,,,,
Tax Provision,278000000.0,-1344000000.0,214000000.0,272000000.0,496000000.0,F,,,,,
Pretax Income,1612000000.0,-1867000000.0,1387000000.0,2288000000.0,2159000000.0,F,,,,,
Other Income Expense,269000000.0,-1685000000.0,174000000.0,-239000000.0,10000000.0,F,,,,,
Other Non Operating Income Expenses,124000000.0,-1802000000.0,-67000000.0,-16000000.0,-73000000.0,F,,,,,
Special Income Charges,,0.0,0.0,,,F,,,,,
Earnings From Equity Interest,174000000.0,135000000.0,265000000.0,-111000000.0,134000000.0,F,,,,,
Gain On Sale Of Security,-29000000.0,-18000000.0,-24000000.0,-112000000.0,-51000000.0,F,,,,,
Net Non Operating Interest Income Expense,118000000.0,63000000.0,84000000.0,66000000.0,36000000.0,F,,,,,
Interest Expense Non Operating,292000000.0,370000000.0,330000000.0,306000000.0,312000000.0,F,,,,,
Interest Income Non Operating,410000000.0,433000000.0,414000000.0,372000000.0,348000000.0,F,,,,,
Operating Income,1225000000.0,-245000000.0,1129000000.0,2461000000.0,2113000000.0,F,,,,,
Operating Expense,2376000000.0,2775000000.0,2671000000.0,2750000000.0,2506000000.0,F,,,,,
Selling General And Administration,2376000000.0,2775000000.0,2671000000.0,2750000000.0,2506000000.0,F,,,,,
Gross Profit,3601000000.0,2530000000.0,3800000000.0,5211000000.0,4619000000.0,F,,,,,
Cost Of Revenue,39176000000.0,43432000000.0,40001000000.0,39743000000.0,36855000000.0,F,,,,,
Total Revenue,42777000000.0,45962000000.0,43801000000.0,44954000000.0,41474000000.0,F,,,,,
Operating Revenue,42777000000.0,45962000000.0,43801000000.0,44954000000.0,41474000000.0,F,,,,,
Tax Effect Of Unusual Items,-92400000.0,127421538.461538,-59465483.234714,20936555.891239,28260869.565217,DAL,,,,,
Tax Rate For Calcs,0.4,0.104615,0.271532,0.21148,0.282609,DAL,,,,,
Normalized EBITDA,558000000.0,1264000000.0,1936000000.0,2421000000.0,-379000000.0,DAL,,,,,
Total Unusual Items,-231000000.0,1218000000.0,-219000000.0,99000000.0,100000000.0,DAL,,,,,
Total Unusual Items Excluding Goodwill,-231000000.0,1218000000.0,-219000000.0,99000000.0,100000000.0,DAL,,,,,
Net Income From Continuing Operation Net Minority Interest,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Reconciled Cost Of Revenue,11924000000.0,11468000000.0,11888000000.0,11312000000.0,11901000000.0,DAL,,,,,
EBITDA,327000000.0,2482000000.0,1717000000.0,2520000000.0,-279000000.0,DAL,,,,,
EBIT,327000000.0,2482000000.0,1717000000.0,2520000000.0,-279000000.0,DAL,,,,,
Net Interest Income,-205000000.0,-207000000.0,-196000000.0,-203000000.0,-227000000.0,DAL,,,,,
Interest Expense,205000000.0,207000000.0,196000000.0,203000000.0,227000000.0,DAL,,,,,
Normalized Income,175600000.0,946421538.461538,1267534516.765286,1748936555.891239,-434739130.434783,DAL,,,,,
Net Income From Continuing And Discontinued Operation,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Total Expenses,13134000000.0,12962000000.0,13565000000.0,13148000000.0,13036000000.0,DAL,,,,,
Rent Expense Supplemental,884000000.0,820000000.0,810000000.0,749000000.0,716000000.0,DAL,,,,,
Total Operating Income As Reported,614000000.0,1322000000.0,1984000000.0,2491000000.0,-277000000.0,DAL,,,,,
Diluted Average Shares,645000000.0,644000000.0,644000000.0,642000000.0,639000000.0,DAL,,,,,
Basic Average Shares,640000000.0,639000000.0,639000000.0,639000000.0,639000000.0,DAL,,,,,
Diluted EPS,0.06,3.16,1.72,2.84,-0.57,DAL,,,,,
Basic EPS,0.06,3.19,1.73,2.86,-0.57,DAL,,,,,
Diluted NI Availto Com Stockholders,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Net Income Common Stockholders,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Net Income,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Net Income Including Noncontrolling Interests,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Net Income Continuous Operations,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,DAL,,,,,
Tax Provision,85000000.0,238000000.0,413000000.0,490000000.0,-143000000.0,DAL,,,,,
Pretax Income,122000000.0,2275000000.0,1521000000.0,2317000000.0,-506000000.0,DAL,,,,,
Other Income Expense,-287000000.0,1221000000.0,-206000000.0,90000000.0,-2000000.0,DAL,,,,,
Other Non Operating Income Expenses,-56000000.0,3000000.0,13000000.0,-9000000.0,-102000000.0,DAL,,,,,
Special Income Charges,-4000000.0,0.0,-13000000.0,-29000000.0,-22000000.0,DAL,,,,,
Other Special Charges,4000000.0,0.0,13000000.0,29000000.0,22000000.0,DAL,,,,,
Gain On Sale Of Security,-227000000.0,1218000000.0,-206000000.0,128000000.0,122000000.0,DAL,,,,,
Net Non Operating Interest Income Expense,-205000000.0,-207000000.0,-196000000.0,-203000000.0,-227000000.0,DAL,,,,,
Interest Expense Non Operating,205000000.0,207000000.0,196000000.0,203000000.0,227000000.0,DAL,,,,,
Operating Income,614000000.0,1261000000.0,1923000000.0,2430000000.0,-277000000.0,DAL,,,,,
Operating Expense,1210000000.0,1494000000.0,1677000000.0,1836000000.0,1135000000.0,DAL,,,,,
Other Operating Expenses,535000000.0,570000000.0,581000000.0,529000000.0,563000000.0,DAL,,,,,
Selling General And Administration,675000000.0,924000000.0,1096000000.0,1307000000.0,572000000.0,DAL,,,,,
Selling And Marketing Expense,550000000.0,564000000.0,618000000.0,651000000.0,500000000.0,DAL,,,,,
General And Administrative Expense,125000000.0,360000000.0,478000000.0,656000000.0,72000000.0,DAL,,,,,
Salaries And Wages,125000000.0,360000000.0,478000000.0,656000000.0,72000000.0,DAL,,,,,
Gross Profit,1824000000.0,2755000000.0,3600000000.0,4266000000.0,858000000.0,DAL,,,,,
Cost Of Revenue,11924000000.0,11468000000.0,11888000000.0,11312000000.0,11901000000.0,DAL,,,,,
Total Revenue,13748000000.0,14223000000.0,15488000000.0,15578000000.0,12759000000.0,DAL,,,,,
Operating Revenue,11309000000.0,12362000000.0,13273000000.0,13377000000.0,10620000000.0,DAL,,,,,
Tax Effect Of Unusual Items,-960798.0,-3382883.669301,-515124.0,-363560.0,-1375286.0,PHM,,,,,
Tax Rate For Calcs,0.237,0.249071,0.246,0.244,0.242,PHM,,,,,
Normalized EBITDA,893873000.0,981581000.0,870089000.0,974688000.0,727051000.0,PHM,,,,,
Total Unusual Items,-4054000.0,-13582000.0,-2094000.0,-1490000.0,-5683000.0,PHM,,,,,
Total Unusual Items Excluding Goodwill,-4054000.0,-13582000.0,-2094000.0,-1490000.0,-5683000.0,PHM,,,,,
Net Income From Continuing Operation Net Minority Interest,662976000.0,710993000.0,638775000.0,720345000.0,532259000.0,PHM,,,,,
Reconciled Depreciation,21061000.0,21059000.0,20561000.0,20065000.0,19139000.0,PHM,,,,,
Reconciled Cost Of Revenue,2758987000.0,3025659000.0,2803096000.0,2918191000.0,2524863000.0,PHM,,,,,
EBITDA,889819000.0,967999000.0,867995000.0,973198000.0,721368000.0,PHM,,,,,
EBIT,868758000.0,946940000.0,847434000.0,953133000.0,702229000.0,PHM,,,,,
Net Interest Income,17264000.0,19710000.0,19183000.0,15182000.0,6989000.0,PHM,,,,,
Interest Expense,115000.0,122000.0,120000.0,120000.0,107000.0,PHM,,,,,
Interest Income,17379000.0,19832000.0,19303000.0,15302000.0,7096000.0,PHM,,,,,
Normalized Income,666069202.0,721192116.330699,640353876.0,721471440.0,536566714.0,PHM,,,,,
Net Income From Continuing And Discontinued Operation,662976000.0,710993000.0,638775000.0,720345000.0,532259000.0,PHM,,,,,
Total Expenses,3137642000.0,3355037000.0,3176824000.0,3252893000.0,2880520000.0,PHM,,,,,
Diluted Average Shares,213546000.0,215763000.0,219682000.0,223392000.0,225957000.0,PHM,,,,,
Basic Average Shares,211837000.0,214399000.0,218288000.0,222160000.0,225127000.0,PHM,,,,,
Diluted EPS,3.1,3.28,2.9,3.21,2.35,PHM,,,,,
Basic EPS,3.13,3.3,2.92,3.23,2.35,PHM,,,,,
Diluted NI Availto Com Stockholders,662976000.0,708564000.0,636588000.0,717876000.0,529998000.0,PHM,,,,,
Average Dilution Earnings,,18000.0,17000.0,18000.0,13000.0,PHM,,,,,
Net Income Common Stockholders,662976000.0,708546000.0,636571000.0,717858000.0,529985000.0,PHM,,,,,
Otherunder Preferred Stock Dividend,,2447000.0,2204000.0,2487000.0,2274000.0,PHM,,,,,
Net Income,662976000.0,710993000.0,638775000.0,720345000.0,532259000.0,PHM,,,,,
Net Income Including Noncontrolling Interests,662976000.0,710993000.0,638775000.0,720345000.0,532259000.0,PHM,,,,,
Net Income Continuous Operations,662976000.0,710993000.0,638775000.0,720345000.0,532259000.0,PHM,,,,,
Tax Provision,205667000.0,235825000.0,208539000.0,232668000.0,169863000.0,PHM,,,,,
Pretax Income,868643000.0,946818000.0,847314000.0,953013000.0,702122000.0,PHM,,,,,
Other Income Expense,39861000.0,-11507000.0,1422000.0,1971000.0,12000.0,PHM,,,,,
Other Non Operating Income Expenses,6013000.0,1862000.0,2625000.0,2517000.0,3182000.0,PHM,,,,,
Special Income Charges,-4054000.0,-13582000.0,-2094000.0,-1490000.0,-5683000.0,PHM,,,,,
Other Special Charges,64000.0,-301000.0,-362000.0,,,PHM,,,,,
Write Off,3990000.0,13883000.0,2456000.0,1490000.0,5683000.0,PHM,,,,,
Earnings From Equity Interest,37902000.0,213000.0,891000.0,944000.0,2513000.0,PHM,,,,,
Net Non Operating Interest Income Expense,17264000.0,19710000.0,19183000.0,15182000.0,6989000.0,PHM,,,,,
Interest Expense Non Operating,115000.0,122000.0,120000.0,120000.0,107000.0,PHM,,,,,
Interest Income Non Operating,17379000.0,19832000.0,19303000.0,15302000.0,7096000.0,PHM,,,,,
Operating Income,811518000.0,938615000.0,826709000.0,935860000.0,695121000.0,PHM,,,,,
Operating Expense,360134000.0,310942000.0,355790000.0,317260000.0,339188000.0,PHM,,,,,
Depreciation Amortization Depletion Income Statement,2540000.0,2623000.0,2623000.0,2623000.0,2670000.0,PHM,,,,,
Depreciation And Amortization In Income Statement,2540000.0,2623000.0,2623000.0,2623000.0,2670000.0,PHM,,,,,
Amortization,2540000.0,2623000.0,2623000.0,2623000.0,2670000.0,PHM,,,,,
Amortization Of Intangibles Income Statement,2540000.0,2623000.0,2623000.0,2623000.0,2670000.0,PHM,,,,,
Selling General And Administration,357594000.0,308319000.0,353167000.0,314637000.0,336518000.0,PHM,,,,,
Gross Profit,1171652000.0,1249557000.0,1182499000.0,1253120000.0,1034309000.0,PHM,,,,,
Cost Of Revenue,2777508000.0,3044095000.0,2821034000.0,2935633000.0,2541332000.0,PHM,,,,,
Total Revenue,3949160000.0,4293652000.0,4003533000.0,4188753000.0,3575641000.0,PHM,,,,,
Operating Revenue,3949160000.0,4293652000.0,4003533000.0,4188753000.0,3575641000.0,PHM,,,,,
Tax Effect Of Unusual Items,,-26485498.082721,17398283.948044,30253476.474352,-2671227.528986,PDD,,,,,
Tax Rate For Calcs,,0.133214,0.18341,0.194285,0.166567,PDD,,,,,
Normalized EBITDA,,27082556000.0,19073761000.0,16112967000.0,9620137000.0,PDD,,,,,
Total Unusual Items,,-198819000.0,94860000.0,155717000.0,-16037000.0,PDD,,,,,
Total Unusual Items Excluding Goodwill,,-198819000.0,94860000.0,155717000.0,-16037000.0,PDD,,,,,
Net Income From Continuing Operation Net Minority Interest,,23280309000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Reconciled Cost Of Revenue,,35078272000.0,26830233000.0,18689787000.0,11125285000.0,PDD,,,,,
EBITDA,,26883737000.0,19168621000.0,16268684000.0,9604100000.0,PDD,,,,,
EBIT,,26883737000.0,19168621000.0,16268684000.0,9604100000.0,PDD,,,,,
Net Interest Income,,4351229000.0,2115148000.0,2275804000.0,1451912000.0,PDD,,,,,
Interest Expense,,8155000.0,12208000.0,11937000.0,11687000.0,PDD,,,,,
Interest Income,,4359384000.0,2127356000.0,2287741000.0,1463599000.0,PDD,,,,,
Normalized Income,,23452642501.91728,15459660283.948044,12982622476.474352,8114392772.471014,PDD,,,,,
Net Income From Continuing And Discontinued Operation,,23280309000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Total Expenses,,66486068000.0,52184350000.0,39561993000.0,30708032000.0,PDD,,,,,
Total Operating Income As Reported,,22394968000.0,16656021000.0,12718755000.0,6929018000.0,PDD,,,,,
Diluted Average Shares,,,1466275500.0,1458337000.0,1462594500.0,PDD,,,,,
Basic Average Shares,,,1365635500.0,1359598500.0,1320680000.0,PDD,,,,,
Diluted EPS,,,10.6,9.0,5.56,PDD,,,,,
Basic EPS,,,11.36,9.64,6.12,PDD,,,,,
Diluted NI Availto Com Stockholders,,23324296000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Net Income Common Stockholders,,23280309000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Net Income,,23280309000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Net Income Including Noncontrolling Interests,,23280309000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Net Income Continuous Operations,,23280309000.0,15537122000.0,13108086000.0,8101027000.0,PDD,,,,,
Earnings From Equity Interest Net Of Tax,,-15066000.0,-105811000.0,9781000.0,106389000.0,PDD,,,,,
Tax Provision,,3580207000.0,3513480000.0,3158442000.0,1597775000.0,PDD,,,,,
Pretax Income,,26875582000.0,19156413000.0,16256747000.0,9592413000.0,PDD,,,,,
Other Income Expense,,129385000.0,385244000.0,1262188000.0,1211483000.0,PDD,,,,,
Other Non Operating Income Expenses,,328204000.0,290384000.0,1106471000.0,1227520000.0,PDD,,,,,
Gain On Sale Of Security,,-198819000.0,94860000.0,155717000.0,-16037000.0,PDD,,,,,
Net Non Operating Interest Income Expense,,4351229000.0,2115148000.0,2275804000.0,1451912000.0,PDD,,,,,
Interest Expense Non Operating,,8155000.0,12208000.0,11937000.0,11687000.0,PDD,,,,,
Interest Income Non Operating,,4359384000.0,2127356000.0,2287741000.0,1463599000.0,PDD,,,,,
Operating Income,,22394968000.0,16656021000.0,12718755000.0,6929018000.0,PDD,,,,,
Operating Expense,,31407796000.0,25354117000.0,20872206000.0,19582747000.0,PDD,,,,,
Research And Development,,2864430000.0,2847323000.0,2733964000.0,2506657000.0,PDD,,,,,
Selling General And Administration,,28543366000.0,22506794000.0,18138242000.0,17076090000.0,PDD,,,,,
Selling And Marketing Expense,,26638524000.0,21748449000.0,17542209000.0,16259688000.0,PDD,,,,,
General And Administrative Expense,,1904842000.0,758345000.0,596033000.0,816402000.0,PDD,,,,,
Other Gand A,,1904842000.0,758345000.0,596033000.0,816402000.0,PDD,,,,,
Salaries And Wages,,,,1215125000.0,,PDD,,,,,
Gross Profit,,53802764000.0,42010138000.0,33590961000.0,26511765000.0,PDD,,,,,
Cost Of Revenue,,35078272000.0,26830233000.0,18689787000.0,11125285000.0,PDD,,,,,
Total Revenue,,88881036000.0,68840371000.0,52280748000.0,37637050000.0,PDD,,,,,
Operating Revenue,,88881036000.0,68840371000.0,52280748000.0,37637050000.0,PDD,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,GM,,,,,
Tax Rate For Calcs,0.205,0.21,0.136,0.172,0.154,GM,,,,,
Normalized EBITDA,6732000000.0,4508000000.0,6685000000.0,6189000000.0,5821000000.0,GM,,,,,
Net Income From Continuing Operation Net Minority Interest,2980000000.0,2101000000.0,3064000000.0,2566000000.0,2395000000.0,GM,,,,,
