Forward Annual Dividend Yield 4,--,PDD
Trailing Annual Dividend Rate 3,0.00,PDD
Trailing Annual Dividend Yield 3,0.00%,PDD
5 Year Average Dividend Yield 4,--,PDD
Payout Ratio 4,0.00%,PDD
Dividend Date 3,--,PDD
Ex-Dividend Date 4,--,PDD
Last Split Factor 2,--,PDD
Last Split Date 3,--,PDD
Forward Annual Dividend Rate 4,0.48,GM
Forward Annual Dividend Yield 4,1.06%,GM
Trailing Annual Dividend Rate 3,0.39,GM
Trailing Annual Dividend Yield 3,0.86%,GM
5 Year Average Dividend Yield 4,4.06,GM
Payout Ratio 4,4.76%,GM
Dividend Date 3,6/20/2024,GM
Ex-Dividend Date 4,6/7/2024,GM
Last Split Factor 2,--,GM
Last Split Date 3,--,GM
Forward Annual Dividend Rate 4,--,AAL
Forward Annual Dividend Yield 4,--,AAL
Trailing Annual Dividend Rate 3,0.00,AAL
Trailing Annual Dividend Yield 3,0.00%,AAL
5 Year Average Dividend Yield 4,1.27,AAL
Payout Ratio 4,0.00%,AAL
Dividend Date 3,2/19/2020,AAL
Ex-Dividend Date 4,2/4/2020,AAL
Last Split Factor 2,--,AAL
Last Split Date 3,--,AAL
Forward Annual Dividend Rate 4,0.72,LUV
Forward Annual Dividend Yield 4,2.67%,LUV
Trailing Annual Dividend Rate 3,0.72,LUV
Trailing Annual Dividend Yield 3,2.67%,LUV
5 Year Average Dividend Yield 4,1.03,LUV
Payout Ratio 4,112.50%,LUV
Dividend Date 3,3/27/2024,LUV
Ex-Dividend Date 4,3/5/2024,LUV
Last Split Factor 2,3:2,LUV
Last Split Date 3,2/16/2001,LUV
Forward Annual Dividend Rate 4,--,BATRA
Forward Annual Dividend Yield 4,--,BATRA
Trailing Annual Dividend Rate 3,0.00,BATRA
Trailing Annual Dividend Yield 3,0.00%,BATRA
5 Year Average Dividend Yield 4,--,BATRA
Payout Ratio 4,0.00%,BATRA
Dividend Date 3,--,BATRA
Ex-Dividend Date 4,2/10/2022,BATRA
Last Split Factor 2,--,BATRA
Last Split Date 3,--,BATRA
Forward Annual Dividend Rate 4,0.9,DIS
Forward Annual Dividend Yield 4,0.85%,DIS
Trailing Annual Dividend Rate 3,0.00,DIS
Trailing Annual Dividend Yield 3,0.00%,DIS
5 Year Average Dividend Yield 4,1.38,DIS
Payout Ratio 4,32.61%,DIS
Dividend Date 3,7/25/2024,DIS
Ex-Dividend Date 4,7/5/2024,DIS
Last Split Factor 2,10000:9865,DIS
Last Split Date 3,6/13/2007,DIS
Forward Annual Dividend Rate 4,--,COOP
Forward Annual Dividend Yield 4,--,COOP
Trailing Annual Dividend Rate 3,0.00,COOP
Trailing Annual Dividend Yield 3,0.00%,COOP
5 Year Average Dividend Yield 4,--,COOP
Payout Ratio 4,0.00%,COOP
Dividend Date 3,10/11/2018,COOP
Ex-Dividend Date 4,--,COOP
Last Split Factor 2,1:12,COOP
Last Split Date 3,10/11/2018,COOP
Forward Annual Dividend Rate 4,1,BABA
Forward Annual Dividend Yield 4,1.26%,BABA
Trailing Annual Dividend Rate 3,6.87,BABA
Trailing Annual Dividend Yield 3,8.65%,BABA
5 Year Average Dividend Yield 4,--,BABA
Payout Ratio 4,18.31%,BABA
Dividend Date 3,1/18/2024,BABA
Ex-Dividend Date 4,12/20/2023,BABA
Last Split Factor 2,--,BABA
Last Split Date 3,--,BABA
Forward Annual Dividend Rate 4,1.2,DHI
Forward Annual Dividend Yield 4,0.79%,DHI
Trailing Annual Dividend Rate 3,1.10,DHI
Trailing Annual Dividend Yield 3,0.73%,DHI
5 Year Average Dividend Yield 4,1.02,DHI
Payout Ratio 4,7.50%,DHI
Dividend Date 3,5/9/2024,DHI
Ex-Dividend Date 4,5/1/2024,DHI
Last Split Factor 2,4:3,DHI
Last Split Date 3,3/17/2005,DHI
Forward Annual Dividend Rate 4,1.24,CMCSA
Forward Annual Dividend Yield 4,3.22%,CMCSA
Trailing Annual Dividend Rate 3,1.18,CMCSA
Trailing Annual Dividend Yield 3,3.07%,CMCSA
5 Year Average Dividend Yield 4,2.26,CMCSA
Payout Ratio 4,31.30%,CMCSA
Dividend Date 3,4/24/2024,CMCSA
Ex-Dividend Date 4,4/2/2024,CMCSA
Last Split Factor 2,2:1,CMCSA
Last Split Date 3,2/21/2017,CMCSA
Forward Annual Dividend Rate 4,--,UAL
Forward Annual Dividend Yield 4,--,UAL
Trailing Annual Dividend Rate 3,0.00,UAL
Trailing Annual Dividend Yield 3,0.00%,UAL
5 Year Average Dividend Yield 4,--,UAL
Payout Ratio 4,0.00%,UAL
Dividend Date 3,1/23/2008,UAL
Ex-Dividend Date 4,1/7/2008,UAL
Last Split Factor 2,--,UAL
Last Split Date 3,--,UAL
Forward Annual Dividend Rate 4,--,EDU
Forward Annual Dividend Yield 4,--,EDU
Trailing Annual Dividend Rate 3,0.00,EDU
Trailing Annual Dividend Yield 3,0.00%,EDU
5 Year Average Dividend Yield 4,--,EDU
Payout Ratio 4,0.00%,EDU
Dividend Date 3,10/6/2017,EDU
Ex-Dividend Date 4,9/1/2017,EDU
Last Split Factor 2,1:10,EDU
Last Split Date 3,4/8/2022,EDU
Forward Annual Dividend Rate 4,0.43,TCEHY
Forward Annual Dividend Yield 4,0.93%,TCEHY
Trailing Annual Dividend Rate 3,3.09,TCEHY
Trailing Annual Dividend Yield 3,6.59%,TCEHY
5 Year Average Dividend Yield 4,0.43,TCEHY
Payout Ratio 4,18.20%,TCEHY
Dividend Date 3,6/17/2024,TCEHY
Ex-Dividend Date 4,5/17/2024,TCEHY
Last Split Factor 2,5:1,TCEHY
Last Split Date 3,5/20/2014,TCEHY
Forward Annual Dividend Rate 4,0.36,VFC
Forward Annual Dividend Yield 4,2.84%,VFC
Trailing Annual Dividend Rate 3,0.99,VFC
Trailing Annual Dividend Yield 3,7.81%,VFC
5 Year Average Dividend Yield 4,4.36,VFC
Payout Ratio 4,536.67%,VFC
Dividend Date 3,3/20/2024,VFC
Ex-Dividend Date 4,3/8/2024,VFC
Last Split Factor 2,1062:1000,VFC
Last Split Date 3,5/23/2019,VFC
Forward Annual Dividend Rate 4,--,LI
Forward Annual Dividend Yield 4,--,LI
Trailing Annual Dividend Rate 3,0.00,LI
Trailing Annual Dividend Yield 3,0.00%,LI
5 Year Average Dividend Yield 4,--,LI
Payout Ratio 4,0.00%,LI
Dividend Date 3,--,LI
Ex-Dividend Date 4,--,LI
Last Split Factor 2,--,LI
Last Split Date 3,--,LI
Forward Annual Dividend Rate 4,--,MPNGY
Forward Annual Dividend Yield 4,--,MPNGY
Trailing Annual Dividend Rate 3,0.00,MPNGY
Trailing Annual Dividend Yield 3,0.00%,MPNGY
5 Year Average Dividend Yield 4,--,MPNGY
Payout Ratio 4,0.00%,MPNGY
Dividend Date 3,--,MPNGY
Ex-Dividend Date 4,--,MPNGY
Last Split Factor 2,--,MPNGY
Last Split Date 3,--,MPNGY
Forward Annual Dividend Rate 4,--,WB
Forward Annual Dividend Yield 4,--,WB
Trailing Annual Dividend Rate 3,0.00,WB
Trailing Annual Dividend Yield 3,0.00%,WB
5 Year Average Dividend Yield 4,--,WB
Payout Ratio 4,0.00%,WB
Dividend Date 3,5/13/2024,WB
Ex-Dividend Date 4,4/11/2024,WB
Last Split Factor 2,--,WB
Last Split Date 3,--,WB
Forward Annual Dividend Rate 4,--,BZ
Forward Annual Dividend Yield 4,--,BZ
Trailing Annual Dividend Rate 3,0.00,BZ
Trailing Annual Dividend Yield 3,0.00%,BZ
5 Year Average Dividend Yield 4,--,BZ
Payout Ratio 4,0.00%,BZ
Dividend Date 3,12/21/2023,BZ
Ex-Dividend Date 4,12/4/2023,BZ
Last Split Factor 2,--,BZ
Last Split Date 3,--,BZ
Forward Annual Dividend Rate 4,--,TSLA
Forward Annual Dividend Yield 4,--,TSLA
Trailing Annual Dividend Rate 3,0.00,TSLA
Trailing Annual Dividend Yield 3,0.00%,TSLA
5 Year Average Dividend Yield 4,--,TSLA
Payout Ratio 4,0.00%,TSLA
Dividend Date 3,--,TSLA
Ex-Dividend Date 4,--,TSLA
Last Split Factor 2,3:1,TSLA
Last Split Date 3,8/25/2022,TSLA
Forward Annual Dividend Rate 4,1,AAPL
Forward Annual Dividend Yield 4,0.55%,AAPL
Trailing Annual Dividend Rate 3,0.96,AAPL
Trailing Annual Dividend Yield 3,0.53%,AAPL
5 Year Average Dividend Yield 4,0.73,AAPL
Payout Ratio 4,14.93%,AAPL
Dividend Date 3,2/15/2024,AAPL
Ex-Dividend Date 4,5/10/2024,AAPL
Last Split Factor 2,4:1,AAPL
Last Split Date 3,8/31/2020,AAPL
Forward Annual Dividend Rate 4,--,AMD
Forward Annual Dividend Yield 4,--,AMD
Trailing Annual Dividend Rate 3,0.00,AMD
Trailing Annual Dividend Yield 3,0.00%,AMD
5 Year Average Dividend Yield 4,--,AMD
Payout Ratio 4,0.00%,AMD
Dividend Date 3,--,AMD
Ex-Dividend Date 4,4/27/1995,AMD
Last Split Factor 2,2:1,AMD
Last Split Date 3,8/22/2000,AMD
Forward Annual Dividend Rate 4,--,RCL
Forward Annual Dividend Yield 4,--,RCL
Trailing Annual Dividend Rate 3,0.00,RCL
Trailing Annual Dividend Yield 3,0.00%,RCL
5 Year Average Dividend Yield 4,2.52,RCL
Payout Ratio 4,0.00%,RCL
Dividend Date 3,4/6/2020,RCL
Ex-Dividend Date 4,3/5/2020,RCL
Last Split Factor 2,2:1,RCL
Last Split Date 3,8/3/1998,RCL
Forward Annual Dividend Rate 4,1.68,PFE
Forward Annual Dividend Yield 4,6.05%,PFE
Trailing Annual Dividend Rate 3,1.65,PFE
Trailing Annual Dividend Yield 3,5.94%,PFE
5 Year Average Dividend Yield 4,4.02,PFE
Payout Ratio 4,443.24%,PFE
Dividend Date 3,6/14/2024,PFE
Ex-Dividend Date 4,5/9/2024,PFE
Last Split Factor 2,1054:1000,PFE
Last Split Date 3,11/17/2020,PFE
