0,1,stock
Gross Profit (ttm),--,PRU
EBITDA,3.18B,PRU
Net Income Avi to Common (ttm),2.14B,PRU
Diluted EPS (ttm),5.94,PRU
Quarterly Earnings Growth (yoy),-22.20%,PRU
Revenue (ttm),7.56B,VOYA
Revenue Per Share (ttm),72.87,VOYA
Quarterly Revenue Growth (yoy),11.80%,VOYA
Gross Profit (ttm),--,VOYA
EBITDA,1.38B,VOYA
Net Income Avi to Common (ttm),754M,VOYA
Diluted EPS (ttm),7.05,VOYA
Quarterly Earnings Growth (yoy),202.40%,VOYA
Revenue (ttm),4.33B,GDDY
Revenue Per Share (ttm),29.76,GDDY
Quarterly Revenue Growth (yoy),7.00%,GDDY
Gross Profit (ttm),--,GDDY
EBITDA,895.4M,GDDY
Net Income Avi to Common (ttm),1.73B,GDDY
Diluted EPS (ttm),11.61,GDDY
Quarterly Earnings Growth (yoy),748.80%,GDDY
Revenue (ttm),2.27B,YY
Revenue Per Share (ttm),34.66,YY
Quarterly Revenue Growth (yoy),-5.80%,YY
Gross Profit (ttm),--,YY
EBITDA,154.95M,YY
Net Income Avi to Common (ttm),347.35M,YY
Diluted EPS (ttm),4.76,YY
Quarterly Earnings Growth (yoy),--,YY
Revenue (ttm),12B,MOMO
Revenue Per Share (ttm),63.56,MOMO
Quarterly Revenue Growth (yoy),-6.50%,MOMO
Gross Profit (ttm),--,MOMO
EBITDA,2.38B,MOMO
Net Income Avi to Common (ttm),1.96B,MOMO
Diluted EPS (ttm),1.34,MOMO
Quarterly Earnings Growth (yoy),13.70%,MOMO
Revenue (ttm),9.22B,PVH
Revenue Per Share (ttm),151.11,PVH
Quarterly Revenue Growth (yoy),0.00%,PVH
Gross Profit (ttm),--,PVH
EBITDA,1.22B,PVH
Net Income Avi to Common (ttm),663.6M,PVH
Diluted EPS (ttm),10.76,PVH
Quarterly Earnings Growth (yoy),96.00%,PVH
Revenue (ttm),125.89B,UGP
Revenue Per Share (ttm),114.82,UGP
Quarterly Revenue Growth (yoy),-0.50%,UGP
Gross Profit (ttm),--,UGP
EBITDA,5.38B,UGP
Net Income Avi to Common (ttm),2.61B,UGP
Diluted EPS (ttm),0.4600,UGP
Quarterly Earnings Growth (yoy),64.60%,UGP
Revenue (ttm),3.77B,INCY
Revenue Per Share (ttm),16.82,INCY
Quarterly Revenue Growth (yoy),8.90%,INCY
Gross Profit (ttm),--,INCY
EBITDA,801.76M,INCY
Net Income Avi to Common (ttm),745.44M,INCY
Diluted EPS (ttm),3.31,INCY
Quarterly Earnings Growth (yoy),681.20%,INCY
Revenue (ttm),51.79B,CB
Revenue Per Share (ttm),126.72,CB
Quarterly Revenue Growth (yoy),19.20%,CB
Gross Profit (ttm),--,CB
EBITDA,10.55B,CB
Net Income Avi to Common (ttm),9.28B,CB
Diluted EPS (ttm),22.58,CB
Quarterly Earnings Growth (yoy),13.30%,CB
Revenue (ttm),1.8B,FRO
Revenue Per Share (ttm),8.10,FRO
Quarterly Revenue Growth (yoy),-21.70%,FRO
Gross Profit (ttm),--,FRO
EBITDA,934.72M,FRO
Net Income Avi to Common (ttm),656.41M,FRO
Diluted EPS (ttm),3.04,FRO
Quarterly Earnings Growth (yoy),-50.50%,FRO
Revenue (ttm),6.79B,SEM
Revenue Per Share (ttm),54.99,SEM
Quarterly Revenue Growth (yoy),7.40%,SEM
Gross Profit (ttm),--,SEM
EBITDA,807.77M,SEM
Net Income Avi to Common (ttm),259.98M,SEM
Diluted EPS (ttm),2.10,SEM
Quarterly Earnings Growth (yoy),36.90%,SEM
Revenue (ttm),648.26M,GBDC
Revenue Per Share (ttm),3.81,GBDC
Quarterly Revenue Growth (yoy),11.80%,GBDC
Gross Profit (ttm),--,GBDC
EBITDA,--,GBDC
Net Income Avi to Common (ttm),343.88M,GBDC
Diluted EPS (ttm),2.02,GBDC
Quarterly Earnings Growth (yoy),59.90%,GBDC
Revenue (ttm),3.46B,CAKE
Revenue Per Share (ttm),72.05,CAKE
Quarterly Revenue Growth (yoy),2.90%,CAKE
Gross Profit (ttm),--,CAKE
EBITDA,250.19M,CAKE
Net Income Avi to Common (ttm),106.49M,CAKE
Diluted EPS (ttm),2.14,CAKE
Quarterly Earnings Growth (yoy),18.30%,CAKE
Revenue (ttm),429.26M,BNL
Revenue Per Share (ttm),2.30,BNL
Quarterly Revenue Growth (yoy),-11.50%,BNL
Gross Profit (ttm),--,BNL
EBITDA,363.7M,BNL
Net Income Avi to Common (ttm),180.51M,BNL
Diluted EPS (ttm),0.97,BNL
Quarterly Earnings Growth (yoy),65.70%,BNL
Revenue (ttm),768.2M,AIRC
Revenue Per Share (ttm),5.23,AIRC
Quarterly Revenue Growth (yoy),-10.50%,AIRC
Gross Profit (ttm),--,AIRC
EBITDA,437.96M,AIRC
Net Income Avi to Common (ttm),639.33M,AIRC
Diluted EPS (ttm),4.31,AIRC
Quarterly Earnings Growth (yoy),--,AIRC
