metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Special Income Charges,,0.0,0.0,,,0.0,-135000000.0,F,,,,,,,,,,,,
Other Special Charges,,,,,,0.0,135000000.0,F,,,,,,,,,,,,
Earnings From Equity Interest,174000000.0,135000000.0,265000000.0,-111000000.0,134000000.0,,,F,,,,,,,,,,,,
Gain On Sale Of Security,-29000000.0,-18000000.0,-24000000.0,-112000000.0,-51000000.0,,,F,,,,,,,,,,,,
Net Non Operating Interest Income Expense,118000000.0,63000000.0,84000000.0,66000000.0,36000000.0,,,F,,,,,,,,,,,,
Interest Expense Non Operating,292000000.0,370000000.0,330000000.0,306000000.0,312000000.0,,,F,,,,,,,,,,,,
Interest Income Non Operating,410000000.0,433000000.0,414000000.0,372000000.0,348000000.0,,,F,,,,,,,,,,,,
Operating Income,1225000000.0,-245000000.0,1129000000.0,2461000000.0,2113000000.0,,,F,,,,,,,,,,,,
Operating Expense,2376000000.0,2775000000.0,2671000000.0,2750000000.0,2506000000.0,,,F,,,,,,,,,,,,
Selling General And Administration,2376000000.0,2775000000.0,2671000000.0,2750000000.0,2506000000.0,,,F,,,,,,,,,,,,
Gross Profit,3601000000.0,2530000000.0,3800000000.0,5211000000.0,4619000000.0,,,F,,,,,,,,,,,,
Cost Of Revenue,39176000000.0,43432000000.0,40001000000.0,39743000000.0,36855000000.0,,,F,,,,,,,,,,,,
Total Revenue,42777000000.0,45962000000.0,43801000000.0,44954000000.0,41474000000.0,,,F,,,,,,,,,,,,
Operating Revenue,42777000000.0,45962000000.0,43801000000.0,44954000000.0,41474000000.0,,,F,,,,,,,,,,,,
Tax Effect Of Unusual Items,-12200000.0,-16358907.672302,-19437415.881561,-174375000.0,2420000.0,,,UAL,,,,,,,,,,,,
Tax Rate For Calcs,0.244,0.221066,0.234186,0.225,0.242,,,UAL,,,,,,,,,,,,
Normalized EBITDA,279000000.0,1273000000.0,2014000000.0,2613000000.0,182000000.0,,,UAL,,,,,,,,,,,,
Total Unusual Items,-50000000.0,-74000000.0,-83000000.0,-775000000.0,10000000.0,,,UAL,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-50000000.0,-74000000.0,-83000000.0,-775000000.0,10000000.0,,,UAL,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Reconciled Cost Of Revenue,9799000000.0,9937000000.0,10042000000.0,9298000000.0,9241000000.0,,,UAL,,,,,,,,,,,,
EBITDA,229000000.0,1199000000.0,1931000000.0,1838000000.0,192000000.0,,,UAL,,,,,,,,,,,,
EBIT,229000000.0,1199000000.0,1931000000.0,1838000000.0,192000000.0,,,UAL,,,,,,,,,,,,
Net Interest Income,-216000000.0,-223000000.0,-211000000.0,-235000000.0,-278000000.0,,,UAL,,,,,,,,,,,,
Interest Expense,393000000.0,430000000.0,445000000.0,451000000.0,448000000.0,,,UAL,,,,,,,,,,,,
Interest Income,177000000.0,207000000.0,234000000.0,216000000.0,170000000.0,,,UAL,,,,,,,,,,,,
Normalized Income,-86200000.0,656641092.327698,1201562584.118439,1675625000.0,-201580000.0,,,UAL,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Total Expenses,12427000000.0,12582000000.0,12716000000.0,11802000000.0,11458000000.0,,,UAL,,,,,,,,,,,,
Rent Expense Supplemental,847000000.0,839000000.0,847000000.0,814000000.0,773000000.0,,,UAL,,,,,,,,,,,,
Total Operating Income As Reported,99000000.0,997000000.0,1739000000.0,1517000000.0,-43000000.0,,,UAL,,,,,,,,,,,,
Diluted Average Shares,328300000.0,331300000.0,332400000.0,331500000.0,327400000.0,,,UAL,,,,,,,,,,,,
Basic Average Shares,328300000.0,328018739.0,328000000.0,328000000.0,327400000.0,,,UAL,,,,,,,,,,,,
Diluted EPS,-0.38,1.81,3.42,3.24,-0.59,,,UAL,,,,,,,,,,,,
Basic EPS,-0.38,1.829164,3.47,3.28,-0.59,,,UAL,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Net Income Common Stockholders,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Net Income,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Net Income Continuous Operations,-124000000.0,599000000.0,1138000000.0,1075000000.0,-194000000.0,,,UAL,,,,,,,,,,,,
Tax Provision,-40000000.0,170000000.0,348000000.0,312000000.0,-62000000.0,,,UAL,,,,,,,,,,,,
Pretax Income,-164000000.0,769000000.0,1486000000.0,1387000000.0,-256000000.0,,,UAL,,,,,,,,,,,,
Other Income Expense,-60000000.0,-52000000.0,-71000000.0,-754000000.0,51000000.0,,,UAL,,,,,,,,,,,,
Other Non Operating Income Expenses,-10000000.0,22000000.0,12000000.0,21000000.0,41000000.0,,,UAL,,,,,,,,,,,,
Special Income Charges,-13000000.0,-47000000.0,-29000000.0,-859000000.0,-14000000.0,,,UAL,,,,,,,,,,,,
Gain On Sale Of Ppe,-13000000.0,-47000000.0,-28000000.0,-46000000.0,-14000000.0,,,UAL,,,,,,,,,,,,
Other Special Charges,,,,,14000000.0,,,UAL,,,,,,,,,,,,
Impairment Of Capital Assets,,,,,,0.0,0.0,UAL,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,0.0,1000000.0,813000000.0,,0.0,0.0,UAL,,,,,,,,,,,,
Gain On Sale Of Security,-37000000.0,-27000000.0,-54000000.0,84000000.0,24000000.0,,,UAL,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-216000000.0,-223000000.0,-211000000.0,-235000000.0,-278000000.0,,,UAL,,,,,,,,,,,,
Interest Expense Non Operating,393000000.0,430000000.0,445000000.0,451000000.0,448000000.0,,,UAL,,,,,,,,,,,,
Interest Income Non Operating,177000000.0,207000000.0,234000000.0,216000000.0,170000000.0,,,UAL,,,,,,,,,,,,
Operating Income,112000000.0,1044000000.0,1768000000.0,2376000000.0,-29000000.0,,,UAL,,,,,,,,,,,,
Operating Expense,2628000000.0,2645000000.0,2674000000.0,2504000000.0,2217000000.0,,,UAL,,,,,,,,,,,,
Other Operating Expenses,2148000000.0,2074000000.0,2158000000.0,2017000000.0,1814000000.0,,,UAL,,,,,,,,,,,,
Selling General And Administration,480000000.0,571000000.0,516000000.0,487000000.0,403000000.0,,,UAL,,,,,,,,,,,,
Selling And Marketing Expense,480000000.0,571000000.0,516000000.0,487000000.0,403000000.0,,,UAL,,,,,,,,,,,,
Gross Profit,2740000000.0,3689000000.0,4442000000.0,4880000000.0,2188000000.0,,,UAL,,,,,,,,,,,,
Cost Of Revenue,9799000000.0,9937000000.0,10042000000.0,9298000000.0,9241000000.0,,,UAL,,,,,,,,,,,,
Total Revenue,12539000000.0,13626000000.0,14484000000.0,14178000000.0,11429000000.0,,,UAL,,,,,,,,,,,,
Operating Revenue,11704000000.0,12823000000.0,13682000000.0,13364000000.0,10672000000.0,,,UAL,,,,,,,,,,,,
Tax Effect Of Unusual Items,0.0,0.0,0.0,0.0,0.0,,,GM,,,,,,,,,,,,
Tax Rate For Calcs,0.205,0.21,0.136,0.172,0.154,,,GM,,,,,,,,,,,,
Normalized EBITDA,6732000000.0,4508000000.0,6685000000.0,6189000000.0,5821000000.0,,,GM,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2980000000.0,2101000000.0,3064000000.0,2566000000.0,2395000000.0,,,GM,,,,,,,,,,,,
Reconciled Depreciation,2798000000.0,3150000000.0,2992000000.0,2934000000.0,2812000000.0,,,GM,,,,,,,,,,,,
Reconciled Cost Of Revenue,37102000000.0,39670000000.0,38775000000.0,39400000000.0,34859000000.0,,,GM,,,,,,,,,,,,
EBITDA,6732000000.0,4508000000.0,6685000000.0,6189000000.0,5821000000.0,,,GM,,,,,,,,,,,,
EBIT,3934000000.0,1358000000.0,3693000000.0,3255000000.0,3009000000.0,,,GM,,,,,,,,,,,,
Net Interest Income,83000000.0,-332000000.0,224000000.0,132000000.0,175000000.0,,,GM,,,,,,,,,,,,
Interest Expense,219000000.0,222000000.0,229000000.0,226000000.0,234000000.0,,,GM,,,,,,,,,,,,
Interest Income,302000000.0,-110000000.0,453000000.0,358000000.0,409000000.0,,,GM,,,,,,,,,,,,
Normalized Income,2980000000.0,2101000000.0,3064000000.0,2566000000.0,2395000000.0,,,GM,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2980000000.0,2101000000.0,3064000000.0,2566000000.0,2395000000.0,,,GM,,,,,,,,,,,,
Total Expenses,39277000000.0,42061000000.0,41119000000.0,41958000000.0,37406000000.0,,,GM,,,,,,,,,,,,
Total Operating Income As Reported,3738000000.0,918000000.0,3013000000.0,2789000000.0,2578000000.0,,,GM,,,,,,,,,,,,
Diluted Average Shares,1162000000.0,,1378000000.0,1389000000.0,1402000000.0,,1457000000.0,GM,,,,,,,,,,,,
Basic Average Shares,1155000000.0,,1372000000.0,1385000000.0,1396000000.0,,1448000000.0,GM,,,,,,,,,,,,
Diluted EPS,2.56,,2.2,1.83,1.69,,2.25,GM,,,,,,,,,,,,
Basic EPS,2.57,,2.21,1.83,1.7,,2.26,GM,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,2970000000.0,2076000000.0,3038000000.0,2540000000.0,2369000000.0,,,GM,,,,,,,,,,,,
Net Income Common Stockholders,2970000000.0,2076000000.0,3038000000.0,2540000000.0,2369000000.0,,,GM,,,,,,,,,,,,
Preferred Stock Dividends,9000000.0,26000000.0,26000000.0,27000000.0,27000000.0,,,GM,,,,,,,,,,,,
Net Income,2980000000.0,2101000000.0,3064000000.0,2566000000.0,2395000000.0,,,GM,,,,,,,,,,,,
Minority Interests,27000000.0,108000000.0,70000000.0,59000000.0,49000000.0,,,GM,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,2953000000.0,1994000000.0,2994000000.0,2507000000.0,2346000000.0,,,GM,,,,,,,,,,,,
Net Income Continuous Operations,2953000000.0,1994000000.0,2994000000.0,2507000000.0,2346000000.0,,,GM,,,,,,,,,,,,
Tax Provision,762000000.0,-858000000.0,470000000.0,522000000.0,428000000.0,,,GM,,,,,,,,,,,,
Pretax Income,3715000000.0,1136000000.0,3464000000.0,3029000000.0,2775000000.0,,,GM,,,,,,,,,,,,
Other Income Expense,-105000000.0,551000000.0,227000000.0,108000000.0,21000000.0,,,GM,,,,,,,,,,,,
Earnings From Equity Interest,-105000000.0,123000000.0,227000000.0,108000000.0,21000000.0,,,GM,,,,,,,,,,,,
Net Non Operating Interest Income Expense,83000000.0,-332000000.0,224000000.0,132000000.0,175000000.0,,,GM,,,,,,,,,,,,
Interest Expense Non Operating,219000000.0,222000000.0,229000000.0,226000000.0,234000000.0,,,GM,,,,,,,,,,,,
Interest Income Non Operating,302000000.0,-110000000.0,453000000.0,358000000.0,409000000.0,,,GM,,,,,,,,,,,,
Operating Income,3737000000.0,918000000.0,3012000000.0,2789000000.0,2579000000.0,,,GM,,,,,,,,,,,,
Operating Expense,2175000000.0,2391000000.0,2344000000.0,2558000000.0,2547000000.0,,,GM,,,,,,,,,,,,
Selling General And Administration,2175000000.0,2391000000.0,2344000000.0,2558000000.0,2547000000.0,,,GM,,,,,,,,,,,,
Gross Profit,5912000000.0,3309000000.0,5356000000.0,5347000000.0,5126000000.0,,,GM,,,,,,,,,,,,
Cost Of Revenue,37102000000.0,39670000000.0,38775000000.0,39400000000.0,34859000000.0,,,GM,,,,,,,,,,,,
Total Revenue,43014000000.0,42979000000.0,44131000000.0,44747000000.0,39985000000.0,,,GM,,,,,,,,,,,,
Operating Revenue,43014000000.0,42979000000.0,44131000000.0,44747000000.0,39985000000.0,,,GM,,,,,,,,,,,,
Tax Effect Of Unusual Items,-92400000.0,127421538.461538,-59465483.234714,20936555.891239,28260869.565217,,,DAL,,,,,,,,,,,,
Tax Rate For Calcs,0.4,0.104615,0.271532,0.21148,0.282609,,,DAL,,,,,,,,,,,,
Normalized EBITDA,558000000.0,1264000000.0,1936000000.0,2421000000.0,-379000000.0,,,DAL,,,,,,,,,,,,
Total Unusual Items,-231000000.0,1218000000.0,-219000000.0,99000000.0,100000000.0,,,DAL,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-231000000.0,1218000000.0,-219000000.0,99000000.0,100000000.0,,,DAL,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Reconciled Cost Of Revenue,11924000000.0,11468000000.0,11888000000.0,11312000000.0,11901000000.0,,,DAL,,,,,,,,,,,,
EBITDA,327000000.0,2482000000.0,1717000000.0,2520000000.0,-279000000.0,,,DAL,,,,,,,,,,,,
EBIT,327000000.0,2482000000.0,1717000000.0,2520000000.0,-279000000.0,,,DAL,,,,,,,,,,,,
Net Interest Income,-205000000.0,-207000000.0,-196000000.0,-203000000.0,-227000000.0,,,DAL,,,,,,,,,,,,
Interest Expense,205000000.0,207000000.0,196000000.0,203000000.0,227000000.0,,,DAL,,,,,,,,,,,,
Normalized Income,175600000.0,946421538.461538,1267534516.765286,1748936555.891239,-434739130.434783,,,DAL,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Total Expenses,13134000000.0,12962000000.0,13565000000.0,13148000000.0,13036000000.0,,,DAL,,,,,,,,,,,,
Rent Expense Supplemental,884000000.0,820000000.0,810000000.0,749000000.0,716000000.0,,,DAL,,,,,,,,,,,,
Total Operating Income As Reported,614000000.0,1322000000.0,1984000000.0,2491000000.0,-277000000.0,,,DAL,,,,,,,,,,,,
Diluted Average Shares,645000000.0,644000000.0,644000000.0,642000000.0,639000000.0,,,DAL,,,,,,,,,,,,
Basic Average Shares,640000000.0,639000000.0,639000000.0,639000000.0,639000000.0,,,DAL,,,,,,,,,,,,
Diluted EPS,0.06,3.16,1.72,2.84,-0.57,,,DAL,,,,,,,,,,,,
Basic EPS,0.06,3.19,1.73,2.86,-0.57,,,DAL,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Net Income Common Stockholders,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Net Income,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Net Income Continuous Operations,37000000.0,2037000000.0,1108000000.0,1827000000.0,-363000000.0,,,DAL,,,,,,,,,,,,
Tax Provision,85000000.0,238000000.0,413000000.0,490000000.0,-143000000.0,,,DAL,,,,,,,,,,,,
Pretax Income,122000000.0,2275000000.0,1521000000.0,2317000000.0,-506000000.0,,,DAL,,,,,,,,,,,,
Other Income Expense,-287000000.0,1221000000.0,-206000000.0,90000000.0,-2000000.0,,,DAL,,,,,,,,,,,,
Other Non Operating Income Expenses,-56000000.0,3000000.0,13000000.0,-9000000.0,-102000000.0,,,DAL,,,,,,,,,,,,
Special Income Charges,-4000000.0,0.0,-13000000.0,-29000000.0,-22000000.0,,,DAL,,,,,,,,,,,,
Other Special Charges,4000000.0,0.0,13000000.0,29000000.0,22000000.0,,,DAL,,,,,,,,,,,,
Earnings From Equity Interest,,,,,,,4000000.0,DAL,,,,,,,,,,,,
Gain On Sale Of Security,-227000000.0,1218000000.0,-206000000.0,128000000.0,122000000.0,,,DAL,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-205000000.0,-207000000.0,-196000000.0,-203000000.0,-227000000.0,,,DAL,,,,,,,,,,,,
Interest Expense Non Operating,205000000.0,207000000.0,196000000.0,203000000.0,227000000.0,,,DAL,,,,,,,,,,,,
Operating Income,614000000.0,1261000000.0,1923000000.0,2430000000.0,-277000000.0,,,DAL,,,,,,,,,,,,
Operating Expense,1210000000.0,1494000000.0,1677000000.0,1836000000.0,1135000000.0,,,DAL,,,,,,,,,,,,
Other Operating Expenses,535000000.0,570000000.0,581000000.0,529000000.0,563000000.0,,,DAL,,,,,,,,,,,,
Selling General And Administration,675000000.0,924000000.0,1096000000.0,1307000000.0,572000000.0,,,DAL,,,,,,,,,,,,
Selling And Marketing Expense,550000000.0,564000000.0,618000000.0,651000000.0,500000000.0,,,DAL,,,,,,,,,,,,
General And Administrative Expense,125000000.0,360000000.0,478000000.0,656000000.0,72000000.0,,,DAL,,,,,,,,,,,,
Salaries And Wages,125000000.0,360000000.0,478000000.0,656000000.0,72000000.0,,,DAL,,,,,,,,,,,,
Gross Profit,1824000000.0,2755000000.0,3600000000.0,4266000000.0,858000000.0,,,DAL,,,,,,,,,,,,
Cost Of Revenue,11924000000.0,11468000000.0,11888000000.0,11312000000.0,11901000000.0,,,DAL,,,,,,,,,,,,
Total Revenue,13748000000.0,14223000000.0,15488000000.0,15578000000.0,12759000000.0,,,DAL,,,,,,,,,,,,
Operating Revenue,11309000000.0,12362000000.0,13273000000.0,13377000000.0,10620000000.0,,,DAL,,,,,,,,,,,,
Tax Effect Of Unusual Items,-36000000.0,-49350000.0,-1334933.973589,2720000.0,12390000.0,,,APA,,,,,,,,,,,,
Tax Rate For Calcs,0.4,0.21,0.333733,0.34,0.21,,,APA,,,,,,,,,,,,
Normalized EBITDA,1045000000.0,1277000000.0,1337000000.0,1143000000.0,1165000000.0,,,APA,,,,,,,,,,,,
Total Unusual Items,-90000000.0,-235000000.0,-4000000.0,8000000.0,59000000.0,,,APA,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-90000000.0,-235000000.0,-4000000.0,8000000.0,59000000.0,,,APA,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,132000000.0,1773000000.0,459000000.0,381000000.0,242000000.0,,,APA,,,,,,,,,,,,
Reconciled Depreciation,430000000.0,423000000.0,418000000.0,367000000.0,332000000.0,,,APA,,,,,,,,,,,,
Reconciled Cost Of Revenue,1015000000.0,1056000000.0,1112000000.0,937000000.0,947000000.0,,,APA,,,,,,,,,,,,
EBITDA,955000000.0,1042000000.0,1333000000.0,1151000000.0,1224000000.0,,,APA,,,,,,,,,,,,
EBIT,525000000.0,619000000.0,915000000.0,784000000.0,892000000.0,,,APA,,,,,,,,,,,,
Net Interest Income,-76000000.0,-77000000.0,-81000000.0,-82000000.0,-81000000.0,,,APA,,,,,,,,,,,,
Interest Expense,78000000.0,79000000.0,82000000.0,84000000.0,82000000.0,,,APA,,,,,,,,,,,,
Interest Income,3000000.0,3000000.0,2000000.0,3000000.0,2000000.0,,,APA,,,,,,,,,,,,
Normalized Income,186000000.0,1958650000.0,461665066.026411,375720000.0,195390000.0,,,APA,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,132000000.0,1773000000.0,459000000.0,381000000.0,242000000.0,,,APA,,,,,,,,,,,,
Total Expenses,1338000000.0,1238000000.0,1390000000.0,1022000000.0,1176000000.0,,,APA,,,,,,,,,,,,
Diluted Average Shares,302000000.0,307000000.0,308000000.0,309000000.0,312000000.0,,,APA,,,,,,,,,,,,
Basic Average Shares,302000000.0,306000000.0,308000000.0,308000000.0,311000000.0,,,APA,,,,,,,,,,,,
Diluted EPS,0.44,5.78,1.49,1.23,0.78,,,APA,,,,,,,,,,,,
Basic EPS,0.44,5.79,1.49,1.24,0.78,,,APA,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,132000000.0,1773000000.0,459000000.0,381000000.0,242000000.0,,,APA,,,,,,,,,,,,
Average Dilution Earnings,,,,0.0,,,0.0,APA,,,,,,,,,,,,
Net Income Common Stockholders,132000000.0,1773000000.0,459000000.0,381000000.0,242000000.0,,,APA,,,,,,,,,,,,
Otherunder Preferred Stock Dividend,,0.0,0.0,0.0,0.0,0.0,,APA,,,,,,,,,,,,
Net Income,132000000.0,1773000000.0,459000000.0,381000000.0,242000000.0,,,APA,,,,,,,,,,,,
Minority Interests,-80000000.0,-91000000.0,-96000000.0,-81000000.0,-84000000.0,,,APA,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,212000000.0,1864000000.0,555000000.0,462000000.0,326000000.0,,,APA,,,,,,,,,,,,
Net Income Continuous Operations,212000000.0,1864000000.0,555000000.0,462000000.0,326000000.0,,,APA,,,,,,,,,,,,
Tax Provision,235000000.0,-1324000000.0,278000000.0,238000000.0,484000000.0,,,APA,,,,,,,,,,,,
Pretax Income,447000000.0,540000000.0,833000000.0,700000000.0,810000000.0,,,APA,,,,,,,,,,,,
Other Income Expense,-90000000.0,-312000000.0,-4000000.0,8000000.0,59000000.0,,,APA,,,,,,,,,,,,
Other Non Operating Income Expenses,,,,,,,-2000000.0,APA,,,,,,,,,,,,
Special Income Charges,-20000000.0,-18000000.0,-4000000.0,-43000000.0,6000000.0,,,APA,,,,,,,,,,,,
Gain On Sale Of Ppe,,,,,,-157000000.0,0.0,APA,,,,,,,,,,,,
Gain On Sale Of Business,7000000.0,1000000.0,1000000.0,5000000.0,1000000.0,,,APA,,,,,,,,,,,,
Other Special Charges,,0.0,,,-9000000.0,0.0,,APA,,,,,,,,,,,,
Write Off,,15000000.0,0.0,46000000.0,,0.0,0.0,APA,,,,,,,,,,,,
Restructuring And Mergern Acquisition,27000000.0,4000000.0,5000000.0,2000000.0,4000000.0,,,APA,,,,,,,,,,,,
Gain On Sale Of Security,-70000000.0,-217000000.0,,51000000.0,53000000.0,-133000000.0,,APA,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-76000000.0,-77000000.0,-81000000.0,-82000000.0,-81000000.0,,,APA,,,,,,,,,,,,
Total Other Finance Cost,1000000.0,1000000.0,1000000.0,1000000.0,1000000.0,,,APA,,,,,,,,,,,,
Interest Expense Non Operating,78000000.0,79000000.0,82000000.0,84000000.0,82000000.0,,,APA,,,,,,,,,,,,
Interest Income Non Operating,3000000.0,3000000.0,2000000.0,3000000.0,2000000.0,,,APA,,,,,,,,,,,,
Operating Income,613000000.0,929000000.0,918000000.0,774000000.0,832000000.0,,,APA,,,,,,,,,,,,
Operating Expense,323000000.0,182000000.0,278000000.0,85000000.0,229000000.0,,,APA,,,,,,,,,,,,
Other Operating Expenses,173000000.0,63000000.0,78000000.0,-37000000.0,112000000.0,,,APA,,,,,,,,,,,,
Other Taxes,57000000.0,44000000.0,61000000.0,50000000.0,52000000.0,,,APA,,,,,,,,,,,,
Selling General And Administration,93000000.0,75000000.0,139000000.0,72000000.0,65000000.0,,,APA,,,,,,,,,,,,
General And Administrative Expense,93000000.0,75000000.0,139000000.0,72000000.0,65000000.0,,,APA,,,,,,,,,,,,
Other Gand A,93000000.0,75000000.0,139000000.0,72000000.0,65000000.0,,,APA,,,,,,,,,,,,
