metric,2024-03-31 00:00:00,2023-12-31 00:00:00,2023-09-30 00:00:00,2023-06-30 00:00:00,2023-03-31 00:00:00,2022-12-31 00:00:00,2022-09-30 00:00:00,stock,2024-02-29 00:00:00,2023-11-30 00:00:00,2023-08-31 00:00:00,2023-05-31 00:00:00,2023-02-28 00:00:00,2022-11-30 00:00:00,2022-08-31 00:00:00,2024-01-31 00:00:00,2023-10-31 00:00:00,2023-07-31 00:00:00,2023-04-30 00:00:00,2023-01-31 00:00:00,2022-10-31 00:00:00
Change In Inventory,-3154000000.0,3010000000.0,-875000000.0,-1387000000.0,-1967000000.0,,,F,,,,,,,,,,,,,
Change In Receivables,-1927000000.0,-3248000000.0,-933000000.0,-1878000000.0,-1388000000.0,,,F,,,,,,,,,,,,,
Changes In Account Receivables,-1927000000.0,-3248000000.0,-933000000.0,-1878000000.0,-1388000000.0,,,F,,,,,,,,,,,,,
Other Non Cash Items,41000000.0,369000000.0,139000000.0,74000000.0,91000000.0,,,F,,,,,,,,,,,,,
Stock Based Compensation,126000000.0,110000000.0,112000000.0,138000000.0,100000000.0,,,F,,,,,,,,,,,,,
Provisionand Write Offof Assets,126000000.0,89000000.0,137000000.0,129000000.0,83000000.0,,,F,,,,,,,,,,,,,
Asset Impairment Charge,,,,,,0.0,,F,,,,,,,,,,,,,
Deferred Tax,-28000000.0,-1604000000.0,-48000000.0,-14000000.0,17000000.0,,,F,,,,,,,,,,,,,
Deferred Income Tax,-28000000.0,-1604000000.0,-48000000.0,-14000000.0,17000000.0,,,F,,,,,,,,,,,,,
Depreciation Amortization Depletion,1505000000.0,1698000000.0,1604000000.0,1596000000.0,1625000000.0,,,F,,,,,,,,,,,,,
Depreciation And Amortization,1505000000.0,1698000000.0,1604000000.0,1596000000.0,1625000000.0,,,F,,,,,,,,,,,,,
Amortization Cash Flow,-376000000.0,-314000000.0,-299000000.0,-282000000.0,-272000000.0,,,F,,,,,,,,,,,,,
Amortization Of Intangibles,-376000000.0,-314000000.0,-299000000.0,-282000000.0,-272000000.0,,,F,,,,,,,,,,,,,
Depreciation,1881000000.0,2012000000.0,1903000000.0,1878000000.0,1897000000.0,,,F,,,,,,,,,,,,,
Operating Gains Losses,183000000.0,1919000000.0,434000000.0,401000000.0,260000000.0,,,F,,,,,,,,,,,,,
Pension And Employee Benefit Expense,166000000.0,2026000000.0,414000000.0,309000000.0,303000000.0,,,F,,,,,,,,,,,,,
Earnings Losses From Equity Investments,,10000000.0,-2000000.0,-13000000.0,-4000000.0,10000000.0,,F,,,,,,,,,,,,,
Gain Loss On Investment Securities,29000000.0,18000000.0,24000000.0,112000000.0,51000000.0,,,F,,,,,,,,,,,,,
Net Foreign Currency Exchange Gain Loss,-12000000.0,-135000000.0,-2000000.0,-3000000.0,-94000000.0,,,F,,,,,,,,,,,,,
Gain Loss On Sale Of Business,,,,,,,-9000000.0,F,,,,,,,,,,,,,
Net Income From Continuing Operations,1334000000.0,-523000000.0,1173000000.0,2016000000.0,1663000000.0,,,F,,,,,,,,,,,,,
Free Cash Flow,1481000000.0,-2976000000.0,-962000000.0,2379000000.0,1299000000.0,,,UAL,,,,,,,,,,,,,
Repayment Of Debt,-5031000000.0,-825000000.0,-809000000.0,-1794000000.0,-820000000.0,,,UAL,,,,,,,,,,,,,
Issuance Of Debt,3111000000.0,703000000.0,94000000.0,1303000000.0,288000000.0,,,UAL,,,,,,,,,,,,,
Issuance Of Capital Stock,,,,,,0.0,0.0,UAL,,,,,,,,,,,,,
Capital Expenditure,-1366000000.0,-2066000000.0,-1842000000.0,-1420000000.0,-1843000000.0,,,UAL,,,,,,,,,,,,,
End Cash Position,8685000000.0,6334000000.0,8110000000.0,9881000000.0,8032000000.0,,,UAL,,,,,,,,,,,,,
Beginning Cash Position,6335000000.0,8110000000.0,9881000000.0,8032000000.0,7421000000.0,,,UAL,,,,,,,,,,,,,
Changes In Cash,2350000000.0,-1776000000.0,-1771000000.0,1849000000.0,611000000.0,,,UAL,,,,,,,,,,,,,
Financing Cash Flow,-1938000000.0,-123000000.0,-715000000.0,-491000000.0,-563000000.0,,,UAL,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-1938000000.0,-123000000.0,-715000000.0,-491000000.0,-563000000.0,,,UAL,,,,,,,,,,,,,
Net Other Financing Charges,-18000000.0,-1000000.0,0.0,0.0,-31000000.0,,,UAL,,,,,,,,,,,,,
Net Common Stock Issuance,,,,,,0.0,0.0,UAL,,,,,,,,,,,,,
Common Stock Issuance,,,,,,0.0,0.0,UAL,,,,,,,,,,,,,
Net Issuance Payments Of Debt,-1920000000.0,-122000000.0,-715000000.0,-491000000.0,-532000000.0,,,UAL,,,,,,,,,,,,,
Net Long Term Debt Issuance,-1920000000.0,-122000000.0,-715000000.0,-491000000.0,-532000000.0,,,UAL,,,,,,,,,,,,,
Long Term Debt Payments,-5031000000.0,-825000000.0,-809000000.0,-1794000000.0,-820000000.0,,,UAL,,,,,,,,,,,,,
Long Term Debt Issuance,3111000000.0,703000000.0,94000000.0,1303000000.0,288000000.0,,,UAL,,,,,,,,,,,,,
Investing Cash Flow,1441000000.0,-743000000.0,-1936000000.0,-1459000000.0,-1968000000.0,,,UAL,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,1441000000.0,-743000000.0,-1936000000.0,-1459000000.0,-1968000000.0,,,UAL,,,,,,,,,,,,,
Net Other Investing Changes,-4000000.0,-6000000.0,-18000000.0,-5000000.0,6000000.0,,,UAL,,,,,,,,,,,,,
Net Investment Purchase And Sale,2791000000.0,1310000000.0,-87000000.0,-42000000.0,-132000000.0,,,UAL,,,,,,,,,,,,,
Sale Of Investment,3657000000.0,1905000000.0,1912000000.0,2641000000.0,4061000000.0,,,UAL,,,,,,,,,,,,,
Purchase Of Investment,-866000000.0,-595000000.0,-1999000000.0,-2683000000.0,-4193000000.0,,,UAL,,,,,,,,,,,,,
Net PPE Purchase And Sale,20000000.0,19000000.0,11000000.0,8000000.0,1000000.0,,,UAL,,,,,,,,,,,,,
Sale Of PPE,20000000.0,19000000.0,11000000.0,8000000.0,1000000.0,,,UAL,,,,,,,,,,,,,
Capital Expenditure Reported,-1366000000.0,-2066000000.0,-1842000000.0,-1420000000.0,-1843000000.0,,,UAL,,,,,,,,,,,,,
Operating Cash Flow,2847000000.0,-910000000.0,880000000.0,3799000000.0,3142000000.0,,,UAL,,,,,,,,,,,,,
Free Cash Flow,-3067000000.0,-3442000000.0,602000000.0,1659000000.0,-2499000000.0,,,GM,,,,,,,,,,,,,
Repurchase Of Capital Stock,-280000000.0,-9996000000.0,-250000000.0,-500000000.0,-369000000.0,,,GM,,,,,,,,,,,,,
Repayment Of Debt,-13140000000.0,-11406000000.0,-9457000000.0,-11685000000.0,-12127000000.0,,,GM,,,,,,,,,,,,,
Issuance Of Debt,14307000000.0,13606000000.0,11122000000.0,14748000000.0,11487000000.0,,,GM,,,,,,,,,,,,,
Capital Expenditure,-6219000000.0,-7099000000.0,-5994000000.0,-5932000000.0,-5585000000.0,,,GM,,,,,,,,,,,,,
End Cash Position,21378000000.0,21917000000.0,28978000000.0,26753000000.0,21141000000.0,,,GM,,,,,,,,,,,,,
Beginning Cash Position,21917000000.0,28978000000.0,26753000000.0,21141000000.0,21948000000.0,,,GM,,,,,,,,,,,,,
Effect Of Exchange Rate Changes,-78000000.0,23000000.0,-77000000.0,54000000.0,54000000.0,,,GM,,,,,,,,,,,,,
Changes In Cash,-461000000.0,-7084000000.0,2302000000.0,5558000000.0,-861000000.0,,,GM,,,,,,,,,,,,,
Financing Cash Flow,300000000.0,-8179000000.0,983000000.0,2528000000.0,-1685000000.0,,,GM,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,300000000.0,-8180000000.0,983000000.0,2528000000.0,-1685000000.0,,,GM,,,,,,,,,,,,,
Net Other Financing Charges,-140000000.0,-171000000.0,-132000000.0,-146000000.0,-324000000.0,,,GM,,,,,,,,,,,,,
Cash Dividends Paid,-198000000.0,-104000000.0,-182000000.0,-126000000.0,-185000000.0,,,GM,,,,,,,,,,,,,
Common Stock Dividend Paid,-198000000.0,-104000000.0,-182000000.0,-126000000.0,-185000000.0,,,GM,,,,,,,,,,,,,
Net Preferred Stock Issuance,,,,,0.0,,,GM,,,,,,,,,,,,,
Net Common Stock Issuance,-280000000.0,-9996000000.0,-250000000.0,-500000000.0,-369000000.0,,,GM,,,,,,,,,,,,,
Common Stock Payments,-280000000.0,-9996000000.0,-250000000.0,-500000000.0,-369000000.0,,,GM,,,,,,,,,,,,,
Net Issuance Payments Of Debt,918000000.0,2092000000.0,1547000000.0,3300000000.0,-807000000.0,,,GM,,,,,,,,,,,,,
Net Short Term Debt Issuance,-249000000.0,-108000000.0,-118000000.0,237000000.0,-167000000.0,,,GM,,,,,,,,,,,,,
Net Long Term Debt Issuance,1167000000.0,2200000000.0,1665000000.0,3063000000.0,-640000000.0,,,GM,,,,,,,,,,,,,
Long Term Debt Payments,-13140000000.0,-11406000000.0,-9457000000.0,-11685000000.0,-12127000000.0,,,GM,,,,,,,,,,,,,
Long Term Debt Issuance,14307000000.0,13606000000.0,11122000000.0,14748000000.0,11487000000.0,,,GM,,,,,,,,,,,,,
Investing Cash Flow,-3914000000.0,-2563000000.0,-5276000000.0,-4562000000.0,-2262000000.0,,,GM,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-3914000000.0,-2562000000.0,-5276000000.0,-4564000000.0,-2261000000.0,,,GM,,,,,,,,,,,,,
Net Other Investing Changes,-530000000.0,-867000000.0,-2478000000.0,-2412000000.0,-2245000000.0,,,GM,,,,,,,,,,,,,
Net Investment Purchase And Sale,-250000000.0,2230000000.0,9000000.0,373000000.0,2304000000.0,,,GM,,,,,,,,,,,,,
Sale Of Investment,745000000.0,2670000000.0,1271000000.0,2457000000.0,2947000000.0,,,GM,,,,,,,,,,,,,
Purchase Of Investment,-995000000.0,-440000000.0,-1262000000.0,-2084000000.0,-643000000.0,,,GM,,,,,,,,,,,,,
Net PPE Purchase And Sale,-351000000.0,-220000000.0,-226000000.0,-271000000.0,110000000.0,,,GM,,,,,,,,,,,,,
Sale Of PPE,3085000000.0,3173000000.0,3187000000.0,3409000000.0,3264000000.0,,,GM,,,,,,,,,,,,,
Purchase Of PPE,-3436000000.0,-3393000000.0,-3413000000.0,-3680000000.0,-3154000000.0,,,GM,,,,,,,,,,,,,
Capital Expenditure Reported,-2783000000.0,-3706000000.0,-2581000000.0,-2252000000.0,-2431000000.0,,,GM,,,,,,,,,,,,,
Operating Cash Flow,3152000000.0,3657000000.0,6596000000.0,7591000000.0,3086000000.0,,,GM,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,3153000000.0,3657000000.0,6596000000.0,7591000000.0,3086000000.0,,,GM,,,,,,,,,,,,,
Change In Working Capital,-3022000000.0,708000000.0,836000000.0,2214000000.0,-1936000000.0,,,GM,,,,,,,,,,,,,
Other Non Cash Items,-243000000.0,-1587000000.0,-218000000.0,-222000000.0,-236000000.0,,,GM,,,,,,,,,,,,,
Deferred Tax,655000000.0,-1276000000.0,277000000.0,-88000000.0,46000000.0,,,GM,,,,,,,,,,,,,
Deferred Income Tax,655000000.0,-1276000000.0,277000000.0,-88000000.0,46000000.0,,,GM,,,,,,,,,,,,,
Depreciation Amortization Depletion,2798000000.0,3150000000.0,2992000000.0,2934000000.0,2812000000.0,,,GM,,,,,,,,,,,,,
Depreciation And Amortization,2798000000.0,3150000000.0,2992000000.0,2934000000.0,2812000000.0,,,GM,,,,,,,,,,,,,
Depreciation,2798000000.0,3150000000.0,2992000000.0,2934000000.0,2812000000.0,,,GM,,,,,,,,,,,,,
Operating Gains Losses,11000000.0,668000000.0,-284000000.0,246000000.0,54000000.0,,,GM,,,,,,,,,,,,,
Pension And Employee Benefit Expense,15000000.0,154000000.0,-23000000.0,-21000000.0,-20000000.0,,,GM,,,,,,,,,,,,,
Earnings Losses From Equity Investments,32000000.0,279000000.0,-227000000.0,254000000.0,-61000000.0,,,GM,,,,,,,,,,,,,
Net Foreign Currency Exchange Gain Loss,-36000000.0,235000000.0,-34000000.0,13000000.0,135000000.0,,,GM,,,,,,,,,,,,,
Net Income From Continuing Operations,2953000000.0,1994000000.0,2993000000.0,2507000000.0,2346000000.0,,,GM,,,,,,,,,,,,,
Free Cash Flow,1215000000.0,-1057000000.0,-193000000.0,1156000000.0,1235000000.0,,,DAL,,,,,,,,,,,,,
Repayment Of Debt,-712000000.0,-361000000.0,-724000000.0,-1820000000.0,-1166000000.0,,,DAL,,,,,,,,,,,,,
Capital Expenditure,-1193000000.0,-1602000000.0,-1269000000.0,-1452000000.0,-1000000000.0,,,DAL,,,,,,,,,,,,,
End Cash Position,4379000000.0,3395000000.0,2969000000.0,2824000000.0,3429000000.0,,,DAL,,,,,,,,,,,,,
Beginning Cash Position,3395000000.0,2969000000.0,2824000000.0,3429000000.0,3473000000.0,,,DAL,,,,,,,,,,,,,
Changes In Cash,984000000.0,426000000.0,145000000.0,-605000000.0,-44000000.0,,,DAL,,,,,,,,,,,,,
Financing Cash Flow,-787000000.0,416000000.0,-800000000.0,-1831000000.0,-1179000000.0,,,DAL,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-787000000.0,416000000.0,-800000000.0,-1831000000.0,-1179000000.0,,,DAL,,,,,,,,,,,,,
Net Other Financing Charges,-11000000.0,841000000.0,-12000000.0,-11000000.0,-13000000.0,,,DAL,,,,,,,,,,,,,
Cash Dividends Paid,-64000000.0,-64000000.0,,,0.0,,,DAL,,,,,,,,,,,,,
Net Issuance Payments Of Debt,-712000000.0,-361000000.0,-724000000.0,-1820000000.0,-1166000000.0,,,DAL,,,,,,,,,,,,,
Net Long Term Debt Issuance,-712000000.0,-361000000.0,-724000000.0,-1820000000.0,-1166000000.0,,,DAL,,,,,,,,,,,,,
Long Term Debt Payments,-712000000.0,-361000000.0,-724000000.0,-1820000000.0,-1166000000.0,,,DAL,,,,,,,,,,,,,
Investing Cash Flow,-637000000.0,-535000000.0,-131000000.0,-1382000000.0,-1100000000.0,,,DAL,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-637000000.0,-535000000.0,-131000000.0,-1382000000.0,-1100000000.0,,,DAL,,,,,,,,,,,,,
Net Other Investing Changes,10000000.0,8000000.0,64000000.0,18000000.0,2000000.0,,,DAL,,,,,,,,,,,,,
Net Investment Purchase And Sale,546000000.0,1059000000.0,1226000000.0,52000000.0,-102000000.0,,,DAL,,,,,,,,,,,,,
Sale Of Investment,546000000.0,1059000000.0,1527000000.0,1064000000.0,897000000.0,,,DAL,,,,,,,,,,,,,
Purchase Of Investment,0.0,0.0,-301000000.0,-1012000000.0,-999000000.0,,,DAL,,,,,,,,,,,,,
Net Business Purchase And Sale,,0.0,-152000000.0,0.0,0.0,-717000000.0,,DAL,,,,,,,,,,,,,
Purchase Of Business,,0.0,-152000000.0,0.0,0.0,-717000000.0,,DAL,,,,,,,,,,,,,
Net PPE Purchase And Sale,-1193000000.0,-1602000000.0,-1269000000.0,-1452000000.0,-1000000000.0,,,DAL,,,,,,,,,,,,,
Purchase Of PPE,-1193000000.0,-1602000000.0,-1269000000.0,-1452000000.0,-1000000000.0,,,DAL,,,,,,,,,,,,,
Operating Cash Flow,2408000000.0,545000000.0,1076000000.0,2608000000.0,2235000000.0,,,DAL,,,,,,,,,,,,,
Free Cash Flow,-162000000.0,455000000.0,111000000.0,420000000.0,-214000000.0,,,APA,,,,,,,,,,,,,
Repurchase Of Capital Stock,,,,,,-539000000.0,,APA,,,,,,,,,,,,,
Repayment Of Debt,0.0,0.0,0.0,0.0,-65000000.0,,,APA,,,,,,,,,,,,,
Issuance Of Debt,,,,,417000000.0,24000000.0,0.0,APA,,,,,,,,,,,,,
Capital Expenditure,-530000000.0,-575000000.0,-653000000.0,-580000000.0,-549000000.0,,,APA,,,,,,,,,,,,,
Interest Paid Supplemental Data,104000000.0,51000000.0,110000000.0,56000000.0,112000000.0,,,APA,,,,,,,,,,,,,
Income Tax Paid Supplemental Data,366000000.0,404000000.0,391000000.0,190000000.0,286000000.0,,,APA,,,,,,,,,,,,,
End Cash Position,102000000.0,87000000.0,95000000.0,142000000.0,154000000.0,,,APA,,,,,,,,,,,,,
Beginning Cash Position,87000000.0,95000000.0,142000000.0,154000000.0,245000000.0,,,APA,,,,,,,,,,,,,
Changes In Cash,15000000.0,-8000000.0,-47000000.0,-12000000.0,-91000000.0,,,APA,,,,,,,,,,,,,
Financing Cash Flow,-265000000.0,-682000000.0,-144000000.0,-429000000.0,106000000.0,,,APA,,,,,,,,,,,,,
Cash Flow From Continuing Financing Activities,-265000000.0,-682000000.0,-144000000.0,-429000000.0,106000000.0,,,APA,,,,,,,,,,,,,
Net Other Financing Charges,-86000000.0,-89000000.0,-53000000.0,-85000000.0,-26000000.0,,,APA,,,,,,,,,,,,,
Cash Dividends Paid,-76000000.0,-76000000.0,-77000000.0,-77000000.0,-78000000.0,,,APA,,,,,,,,,,,,,
Preferred Stock Dividend Paid,,,,,,0.0,0.0,APA,,,,,,,,,,,,,
Common Stock Dividend Paid,-76000000.0,-76000000.0,-77000000.0,-77000000.0,-78000000.0,,,APA,,,,,,,,,,,,,
Net Common Stock Issuance,-101000000.0,-121000000.0,-20000000.0,-46000000.0,-142000000.0,,,APA,,,,,,,,,,,,,
Common Stock Payments,,,,,,-539000000.0,,APA,,,,,,,,,,,,,
Net Issuance Payments Of Debt,-2000000.0,-396000000.0,6000000.0,-221000000.0,352000000.0,,,APA,,,,,,,,,,,,,
Net Short Term Debt Issuance,-2000000.0,-396000000.0,6000000.0,-221000000.0,417000000.0,,,APA,,,,,,,,,,,,,
Short Term Debt Payments,,,,,,,245000000.0,APA,,,,,,,,,,,,,
Short Term Debt Issuance,,,,,417000000.0,24000000.0,0.0,APA,,,,,,,,,,,,,
Net Long Term Debt Issuance,0.0,0.0,0.0,0.0,-65000000.0,,,APA,,,,,,,,,,,,,
Long Term Debt Payments,0.0,0.0,0.0,0.0,-65000000.0,,,APA,,,,,,,,,,,,,
Investing Cash Flow,-88000000.0,-356000000.0,-667000000.0,-583000000.0,-532000000.0,,,APA,,,,,,,,,,,,,
Cash Flow From Continuing Investing Activities,-88000000.0,-356000000.0,-667000000.0,-583000000.0,-532000000.0,,,APA,,,,,,,,,,,,,
Net Other Investing Changes,14000000.0,20000000.0,-15000000.0,-31000000.0,17000000.0,,,APA,,,,,,,,,,,,,
Net Investment Purchase And Sale,428000000.0,228000000.0,0.0,0.0,0.0,,,APA,,,,,,,,,,,,,
Sale Of Investment,428000000.0,228000000.0,0.0,0.0,0.0,,,APA,,,,,,,,,,,,,
Net Business Purchase And Sale,,0.0,0.0,0.0,0.0,0.0,,APA,,,,,,,,,,,,,
Purchase Of Business,,0.0,0.0,0.0,0.0,0.0,,APA,,,,,,,,,,,,,
Net PPE Purchase And Sale,-530000000.0,-604000000.0,-652000000.0,-552000000.0,-549000000.0,,,APA,,,,,,,,,,,,,
Sale Of PPE,,,1000000.0,7000000.0,21000000.0,,27000000.0,APA,,,,,,,,,,,,,
Purchase Of PPE,-530000000.0,-575000000.0,-653000000.0,-580000000.0,-549000000.0,,,APA,,,,,,,,,,,,,
Operating Cash Flow,368000000.0,1030000000.0,764000000.0,1000000000.0,335000000.0,,,APA,,,,,,,,,,,,,
Cash Flow From Continuing Operating Activities,368000000.0,1030000000.0,764000000.0,1000000000.0,335000000.0,,,APA,,,,,,,,,,,,,
Change In Working Capital,-459000000.0,23000000.0,-161000000.0,232000000.0,-511000000.0,,,APA,,,,,,,,,,,,,
Change In Other Working Capital,-39000000.0,151000000.0,-148000000.0,-62000000.0,1000000.0,,,APA,,,,,,,,,,,,,
Change In Payables And Accrued Expense,-395000000.0,-483000000.0,274000000.0,154000000.0,-429000000.0,,,APA,,,,,,,,,,,,,
Change In Accrued Expense,-432000000.0,-401000000.0,164000000.0,156000000.0,-319000000.0,,,APA,,,,,,,,,,,,,
Change In Payable,37000000.0,-82000000.0,110000000.0,-2000000.0,-110000000.0,,,APA,,,,,,,,,,,,,
Change In Account Payable,37000000.0,-82000000.0,110000000.0,-2000000.0,-110000000.0,,,APA,,,,,,,,,,,,,
Change In Prepaid Assets,-26000000.0,229000000.0,38000000.0,1000000.0,1000000.0,,,APA,,,,,,,,,,,,,
Change In Inventory,-17000000.0,-6000000.0,64000000.0,-14000000.0,-31000000.0,,,APA,,,,,,,,,,,,,
Change In Receivables,18000000.0,132000000.0,-389000000.0,153000000.0,-53000000.0,,,APA,,,,,,,,,,,,,
Other Non Cash Items,249000000.0,336000000.0,78000000.0,-39000000.0,93000000.0,,,APA,,,,,,,,,,,,,
Asset Impairment Charge,,15000000.0,0.0,,,0.0,0.0,APA,,,,,,,,,,,,,
Deferred Tax,-65000000.0,-1640000000.0,-144000000.0,-16000000.0,138000000.0,,,APA,,,,,,,,,,,,,
Deferred Income Tax,-65000000.0,-1640000000.0,-144000000.0,-16000000.0,138000000.0,,,APA,,,,,,,,,,,,,
Depreciation Amortization Depletion,430000000.0,423000000.0,418000000.0,367000000.0,332000000.0,,,APA,,,,,,,,,,,,,
Operating Gains Losses,1000000.0,9000000.0,18000000.0,-52000000.0,-43000000.0,,,APA,,,,,,,,,,,,,
Gain Loss On Investment Securities,8000000.0,10000000.0,19000000.0,-47000000.0,-33000000.0,,,APA,,,,,,,,,,,,,
Gain Loss On Sale Of Business,-7000000.0,-1000000.0,-1000000.0,-5000000.0,-1000000.0,,,APA,,,,,,,,,,,,,
Net Income From Continuing Operations,212000000.0,1864000000.0,555000000.0,462000000.0,326000000.0,,,APA,,,,,,,,,,,,,
Free Cash Flow,17269000.0,33664000.0,96741000.0,43302000.0,20636000.0,,,LAUR,,,,,,,,,,,,,
Repurchase Of Capital Stock,-32894000.0,0.0,0.0,0.0,0.0,,,LAUR,,,,,,,,,,,,,
Repayment Of Debt,-26545000.0,-76249000.0,-79077000.0,-72885000.0,-15227000.0,,,LAUR,,,,,,,,,,,,,
Issuance Of Debt,81091000.0,105650000.0,4166000.0,5956000.0,38000000.0,,,LAUR,,,,,,,,,,,,,
Capital Expenditure,-15884000.0,-29697000.0,-11889000.0,-9018000.0,-5833000.0,,,LAUR,,,,,,,,,,,,,
End Cash Position,133842000.0,96897000.0,138449000.0,120503000.0,139280000.0,,,LAUR,,,,,,,,,,,,,
Other Cash Adjustment Outside Changein Cash,,-193000.0,251000.0,,,0.0,0.0,LAUR,,,,,,,,,,,,,
