metric,2023-12-31 00:00:00,2022-12-31 00:00:00,2021-12-31 00:00:00,2020-12-31 00:00:00,2019-12-31 00:00:00,stock,2023-05-31 00:00:00,2022-05-31 00:00:00,2021-05-31 00:00:00,2020-05-31 00:00:00,2024-01-31 00:00:00,2023-01-31 00:00:00,2022-01-31 00:00:00,2021-01-31 00:00:00,2020-01-31 00:00:00,2024-03-31 00:00:00,2023-03-31 00:00:00,2022-03-31 00:00:00,2021-03-31 00:00:00,2020-03-31 00:00:00,2023-06-30 00:00:00,2022-06-30 00:00:00,2021-06-30 00:00:00,2020-06-30 00:00:00,2019-06-30 00:00:00,2023-09-30 00:00:00,2022-09-30 00:00:00,2021-09-30 00:00:00,2020-09-30 00:00:00
Operating Revenue,176191000000.0,158057000000.0,136341000000.0,127144000000.0,,F,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-209335104.812518,-30666666.666667,-159555729.370356,-221360462.480163,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.227045,0.255556,0.231912,0.198708,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,8754000000.0,5239000000.0,2193000000.0,-4228000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,-922000000.0,-120000000.0,-688000000.0,-1114000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-922000000.0,-120000000.0,-688000000.0,-1114000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,2671000000.0,2456000000.0,2485000000.0,2488000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,38518000000.0,34315000000.0,23913000000.0,20385000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,7832000000.0,5119000000.0,1505000000.0,-5342000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
EBIT,5161000000.0,2663000000.0,-980000000.0,-7830000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-947000000.0,-1375000000.0,-1541000000.0,-942000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,1774000000.0,1673000000.0,1577000000.0,992000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,827000000.0,298000000.0,36000000.0,50000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,3330664895.187482,826333333.333333,-1435555729.370356,-6176360462.480163,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,48557000000.0,42478000000.0,25002000000.0,20794000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Rent Expense Supplemental,3273000000.0,2828000000.0,2644000000.0,2325000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,4211000000.0,2337000000.0,-1022000000.0,-6359000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,331900000.0,330100000.0,323810825.0,311845232.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,327800000.0,326930321.0,323810825.0,311845232.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,7.98,2.23,-6.1,-25.3,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,7.98,2.254303,-6.06527,-22.668296,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,2618000000.0,737000000.0,-1964000000.0,-7069000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,769000000.0,253000000.0,-593000000.0,-1753000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,3387000000.0,990000000.0,-2557000000.0,-8822000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,-826000000.0,-112000000.0,-648000000.0,-2441000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,96000000.0,8000000.0,40000000.0,-1327000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-949000000.0,-140000000.0,-654000000.0,-920000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Ppe,-135000000.0,-140000000.0,-119000000.0,-27000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,,,,575000000.0,16000000.0,UAL,,,,,,,,,,,,,,,,,,,,,,,
Write Off,,,,,171000000.0,UAL,,,,,,,,,,,,,,,,,,,,,,,
Impairment Of Capital Assets,0.0,0.0,97000000.0,318000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,814000000.0,0.0,438000000.0,575000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,27000000.0,20000000.0,-34000000.0,-194000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-947000000.0,-1375000000.0,-1541000000.0,-942000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,1774000000.0,1673000000.0,1577000000.0,992000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,827000000.0,298000000.0,36000000.0,50000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,5160000000.0,2477000000.0,-368000000.0,-5439000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,10039000000.0,8163000000.0,1089000000.0,409000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,8062000000.0,6628000000.0,412000000.0,-50000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,1977000000.0,1535000000.0,677000000.0,459000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Selling And Marketing Expense,1977000000.0,1535000000.0,677000000.0,459000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,15199000000.0,10640000000.0,721000000.0,-5030000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,38518000000.0,34315000000.0,23913000000.0,20385000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,53717000000.0,44955000000.0,24634000000.0,15355000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,50541000000.0,42203000000.0,22546000000.0,13453000000.0,,UAL,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-4158000.0,-38468000.0,124478000.0,58035000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.054,0.163,0.218,0.219,,GM,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,23279000000.0,24110000000.0,25146000000.0,21743000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,-77000000.0,-236000000.0,571000000.0,265000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-77000000.0,-236000000.0,571000000.0,265000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,10127000000.0,9934000000.0,10019000000.0,6427000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,11888000000.0,11290000000.0,12051000000.0,12815000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,152704000000.0,135754000000.0,109126000000.0,108813000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,23202000000.0,23874000000.0,25717000000.0,22008000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
EBIT,11314000000.0,12584000000.0,13666000000.0,9193000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,198000000.0,-527000000.0,-804000000.0,-857000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,911000000.0,987000000.0,950000000.0,1098000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,1109000000.0,460000000.0,146000000.0,241000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,10199842000.0,10131532000.0,9572478000.0,6220035000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,10127000000.0,9934000000.0,10019000000.0,6427000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,162544000000.0,146421000000.0,117680000000.0,115851000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,9298000000.0,10315000000.0,9324000000.0,6634000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,1369000000.0,1454000000.0,1468000000.0,1442000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,1364000000.0,1445000000.0,1451000000.0,1433000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,7.32,6.13,6.7,4.33,,GM,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,7.35,6.17,6.78,4.36,,GM,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,10022000000.0,8915000000.0,9837000000.0,6247000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,10022000000.0,8915000000.0,9837000000.0,6247000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Preferred Stock Dividends,106000000.0,1019000000.0,182000000.0,180000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income,10127000000.0,9934000000.0,10019000000.0,6427000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Minority Interests,287000000.0,226000000.0,74000000.0,106000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,9840000000.0,9708000000.0,9945000000.0,6321000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income Discontinuous Operations,,,,0.0,0.0,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,9840000000.0,9708000000.0,9945000000.0,6321000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,563000000.0,1888000000.0,2771000000.0,1774000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,10403000000.0,11597000000.0,12716000000.0,8095000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,908000000.0,1809000000.0,4196000000.0,2318000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,505000000.0,1208000000.0,2324000000.0,1379000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Earnings From Equity Interest,480000000.0,837000000.0,1301000000.0,674000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,-77000000.0,-236000000.0,571000000.0,265000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,198000000.0,-527000000.0,-804000000.0,-857000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,911000000.0,987000000.0,950000000.0,1098000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Interest Income Non Operating,1109000000.0,460000000.0,146000000.0,241000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,9298000000.0,10314000000.0,9324000000.0,6634000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,9840000000.0,10667000000.0,8554000000.0,7038000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,9840000000.0,10667000000.0,8554000000.0,7038000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,19138000000.0,20981000000.0,17878000000.0,13672000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,152704000000.0,135754000000.0,109126000000.0,108813000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,171842000000.0,156735000000.0,127004000000.0,122485000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,171842000000.0,156735000000.0,127004000000.0,122485000000.0,,GM,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,213600000.0,-275496000.0,-78374000.0,-2206620000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.178,0.312,0.298,0.205,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,7583000000.0,5933000000.0,3938000000.0,-1582000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,1200000000.0,-883000000.0,-263000000.0,-10764000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,1200000000.0,-883000000.0,-263000000.0,-10764000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,2341000000.0,2107000000.0,1998000000.0,2312000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,46571000000.0,42767000000.0,30078000000.0,23416000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,8783000000.0,5050000000.0,3675000000.0,-12346000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
EBIT,6442000000.0,2943000000.0,1677000000.0,-14658000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-834000000.0,-1029000000.0,-1279000000.0,-929000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,834000000.0,1029000000.0,1279000000.0,929000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,3622600000.0,1925504000.0,464626000.0,-3827620000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,52771000000.0,46629000000.0,27562000000.0,21345000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Rent Expense Supplemental,3095000000.0,2689000000.0,2449000000.0,2232000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Total Operating Income As Reported,5521000000.0,3661000000.0,1886000000.0,-12469000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Diluted Average Shares,643000000.0,641000000.0,641000000.0,636000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Basic Average Shares,639000000.0,638000000.0,636000000.0,636000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Diluted EPS,7.17,2.06,0.44,-19.49,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Basic EPS,7.21,2.07,0.44,-19.49,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Diluted NI Availto Com Stockholders,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income Common Stockholders,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income Including Noncontrolling Interests,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Income Continuous Operations,4609000000.0,1318000000.0,280000000.0,-12385000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Tax Provision,999000000.0,596000000.0,118000000.0,-3202000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Pretax Income,5608000000.0,1914000000.0,398000000.0,-15587000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Other Income Expense,1165000000.0,-1010000000.0,-660000000.0,-10408000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Other Non Operating Income Expenses,-35000000.0,-127000000.0,-397000000.0,356000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Special Income Charges,-63000000.0,-100000000.0,-319000000.0,-10659000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Other Special Charges,63000000.0,100000000.0,319000000.0,8000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Write Off,,20000000.0,337000000.0,2432000000.0,62000000.0,DAL,,,,,,,,,,,,,,,,,,,,,,,
Restructuring And Mergern Acquisition,,-124000000.0,-19000000.0,8219000000.0,0.0,DAL,,,,,,,,,,,,,,,,,,,,,,,
Gain On Sale Of Security,1263000000.0,-783000000.0,56000000.0,-105000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Net Non Operating Interest Income Expense,-834000000.0,-1029000000.0,-1279000000.0,-929000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Total Other Finance Cost,,,,,301000000.0,DAL,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense Non Operating,834000000.0,1029000000.0,1279000000.0,929000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Operating Income,5277000000.0,3953000000.0,2337000000.0,-4250000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Operating Expense,6200000000.0,3862000000.0,-2516000000.0,-2071000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Other Operating Expenses,2239000000.0,1700000000.0,-3126000000.0,-2714000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Selling General And Administration,3961000000.0,2162000000.0,610000000.0,643000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Selling And Marketing Expense,2334000000.0,1891000000.0,953000000.0,643000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
General And Administrative Expense,1627000000.0,271000000.0,-343000000.0,,1643000000.0,DAL,,,,,,,,,,,,,,,,,,,,,,,
Salaries And Wages,1627000000.0,271000000.0,-343000000.0,0.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Gross Profit,11477000000.0,7815000000.0,-179000000.0,-6321000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Cost Of Revenue,46571000000.0,42767000000.0,30078000000.0,23416000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Total Revenue,58048000000.0,50582000000.0,29899000000.0,17095000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Operating Revenue,49632000000.0,41268000000.0,23551000000.0,13491000000.0,,DAL,,,,,,,,,,,,,,,,,,,,,,,
Tax Effect Of Unusual Items,-36120000.0,235094523.892571,-189202538.339503,-1238220000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Tax Rate For Calcs,0.21,0.288106,0.305658,0.27,,APA,,,,,,,,,,,,,,,,,,,,,,,
Normalized EBITDA,4922000000.0,6465000000.0,4280000000.0,1944000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items,-172000000.0,816000000.0,-619000000.0,-4586000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Total Unusual Items Excluding Goodwill,-172000000.0,816000000.0,-619000000.0,-4586000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing Operation Net Minority Interest,2855000000.0,3604000000.0,1135000000.0,-4784000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Depreciation,1540000000.0,1233000000.0,1360000000.0,1772000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Reconciled Cost Of Revenue,4052000000.0,4820000000.0,4445000000.0,3530000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
EBITDA,4750000000.0,7281000000.0,3661000000.0,-2642000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
EBIT,3210000000.0,6048000000.0,2301000000.0,-4414000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Net Interest Income,-321000000.0,-312000000.0,-410000000.0,-427000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Interest Expense,327000000.0,314000000.0,410000000.0,426000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Interest Income,10000000.0,10000000.0,8000000.0,7000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Normalized Income,2990880000.0,3023094523.892571,1564797461.660497,-1436220000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Net Income From Continuing And Discontinued Operation,2855000000.0,3604000000.0,1135000000.0,-4784000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
Total Expenses,4903000000.0,5845000000.0,5065000000.0,4262000000.0,,APA,,,,,,,,,,,,,,,,,,,,,,,
