0,1,stock
Total Debt (mrq),371.24B,TCEHY
Total Debt/Equity (mrq),42.49%,TCEHY
Current Ratio (mrq),1.47,TCEHY
Book Value Per Share (mrq),85.96,TCEHY
Total Cash (mrq),989.74M,VFC
Total Cash Per Share (mrq),2.55,VFC
Total Debt (mrq),7.34B,VFC
Total Debt/Equity (mrq),348.09%,VFC
Current Ratio (mrq),1.24,VFC
Book Value Per Share (mrq),5.43,VFC
Total Cash (mrq),103.26B,LI
Total Cash Per Share (mrq),52.16,LI
Total Debt (mrq),13.55B,LI
Total Debt/Equity (mrq),22.36%,LI
Current Ratio (mrq),1.57,LI
Book Value Per Share (mrq),60.76,LI
Total Cash (mrq),145.16B,MPNGY
Total Cash Per Share (mrq),23.36,MPNGY
Total Debt (mrq),60.62B,MPNGY
Total Debt/Equity (mrq),39.89%,MPNGY
Current Ratio (mrq),1.82,MPNGY
Book Value Per Share (mrq),24.47,MPNGY
Total Cash (mrq),3.23B,WB
Total Cash Per Share (mrq),13.65,WB
Total Debt (mrq),2.65B,WB
Total Debt/Equity (mrq),75.40%,WB
Current Ratio (mrq),2.51,WB
Book Value Per Share (mrq),14.38,WB
Total Cash (mrq),12.91B,BZ
Total Cash Per Share (mrq),14.83,BZ
Total Debt (mrq),280.09M,BZ
Total Debt/Equity (mrq),2.09%,BZ
Current Ratio (mrq),3.67,BZ
Book Value Per Share (mrq),31.08,BZ
Total Cash (mrq),29.09B,TSLA
Total Cash Per Share (mrq),9.14,TSLA
Total Debt (mrq),9.57B,TSLA
Total Debt/Equity (mrq),15.05%,TSLA
Current Ratio (mrq),1.73,TSLA
Book Value Per Share (mrq),19.67,TSLA
Total Cash (mrq),73.1B,AAPL
Total Cash Per Share (mrq),4.73,AAPL
Total Debt (mrq),108.04B,AAPL
Total Debt/Equity (mrq),145.80%,AAPL
Current Ratio (mrq),1.07,AAPL
Book Value Per Share (mrq),4.79,AAPL
